,material,compatibility,chemical
0,,,Benzene
1,ABS plastic,C1 - Fair,Benzene
2,Acetal (Delrin®),A1 - Excellent,Benzene
3,Aluminum,B - Good,Benzene
4,Brass,N/A,Benzene
5,Bronze,A - Excellent,Benzene
6,Buna N (Nitrile),D - Poor,Benzene
7,Carbon graphite,A - Excellent,Benzene
8,Carbon Steel,A - Excellent,Benzene
9,Carpenter 20,A - Excellent,Benzene
10,Cast iron,A - Excellent,Benzene
11,Ceramic Al203,A - Excellent,Benzene
12,Ceramic magnet,A - Excellent,Benzene
13,ChemRaz (FFKM),A - Excellent,Benzene
14,Copper,B - Good,Benzene
15,CPVC,D - Poor,Benzene
16,EPDM,D - Poor,Benzene
17,Epoxy,C1 - Fair,Benzene
18,Fluorocarbon (FKM),D - Poor,Benzene
19,Hastelloy-C®,B - Good,Benzene
20,Hypalon®,D - Poor,Benzene
21,Hytrel®,C - Fair,Benzene
22,Kalrez,A - Excellent,Benzene
23,Kel-F®,B - Good,Benzene
24,LDPE,C1 - Fair,Benzene
25,Natural rubber,D - Poor,Benzene
26,Neoprene,D - Poor,Benzene
27,NORYL®,D - Poor,Benzene
28,Nylon,A1 - Excellent,Benzene
29,Polycarbonate,D - Poor,Benzene
30,Polyetherether Ketone (PEEK),A - Excellent,Benzene
31,Polypropylene,D - Poor,Benzene
32,Polyurethane,D - Poor,Benzene
33,PPS (Ryton®),A - Excellent,Benzene
34,PTFE,A - Excellent,Benzene
35,PVC,C1 - Fair,Benzene
36,PVDF (Kynar®),A2 - Excellent,Benzene
37,Silicone,D - Poor,Benzene
38,stainless steel - 304,B - Good,Benzene
39,stainless steel - 316,B - Good,Benzene
40,Titanium,A - Excellent,Benzene
41,Tygon®,C - Fair,Benzene
42,Viton®,A - Excellent,Benzene
