,material,compatibility,chemical
0,,,Benzoic Acid
1,ABS plastic,N/A,Benzoic Acid
2,Acetal (Delrin®),B - Good,Benzoic Acid
3,Aluminum,B - Good,Benzoic Acid
4,Brass,N/A,Benzoic Acid
5,Bronze,B - Good,Benzoic Acid
6,Buna N (Nitrile),D - Poor,Benzoic Acid
7,Carbon graphite,A - Excellent,Benzoic Acid
8,Carbon Steel,D - Poor,Benzoic Acid
9,Carpenter 20,B - Good,Benzoic Acid
10,Cast iron,D - Poor,Benzoic Acid
11,Ceramic Al203,A - Excellent,Benzoic Acid
12,Ceramic magnet,A - Excellent,Benzoic Acid
13,ChemRaz (FFKM),A - Excellent,Benzoic Acid
14,Copper,N/A,Benzoic Acid
15,CPVC,A1 - Excellent,Benzoic Acid
16,EPDM,D - Poor,Benzoic Acid
17,Epoxy,A1 - Excellent,Benzoic Acid
18,Fluorocarbon (FKM),A - Excellent,Benzoic Acid
19,Hastelloy-C®,B1 - Good,Benzoic Acid
20,Hypalon®,D - Poor,Benzoic Acid
21,Hytrel®,D - Poor,Benzoic Acid
22,Kalrez,A - Excellent,Benzoic Acid
23,Kel-F®,A - Excellent,Benzoic Acid
24,LDPE,A1 - Excellent,Benzoic Acid
25,Natural rubber,D - Poor,Benzoic Acid
26,Neoprene,B - Good,Benzoic Acid
27,NORYL®,B - Good,Benzoic Acid
28,Nylon,D - Poor,Benzoic Acid
29,Polycarbonate,B1 - Good,Benzoic Acid
30,Polyetherether Ketone (PEEK),A - Excellent,Benzoic Acid
31,Polypropylene,B1 - Good,Benzoic Acid
32,Polyurethane,D - Poor,Benzoic Acid
33,PPS (Ryton®),A1 - Excellent,Benzoic Acid
34,PTFE,A2 - Excellent,Benzoic Acid
35,PVC,A - Excellent,Benzoic Acid
36,PVDF (Kynar®),A - Excellent,Benzoic Acid
37,Silicone,B - Good,Benzoic Acid
38,stainless steel - 304,B - Good,Benzoic Acid
39,stainless steel - 316,B - Good,Benzoic Acid
40,Titanium,A - Excellent,Benzoic Acid
41,Tygon®,A - Excellent,Benzoic Acid
42,Viton®,A - Excellent,Benzoic Acid
