,material,compatibility,chemical
0,,,Benzonitrile
1,ABS plastic,N/A,Benzonitrile
2,Acetal (Delrin®),N/A,Benzonitrile
3,Aluminum,N/A,Benzonitrile
4,Brass,N/A,Benzonitrile
5,Bronze,N/A,Benzonitrile
6,Buna N (Nitrile),N/A,Benzonitrile
7,Carbon graphite,A - Excellent,Benzonitrile
8,Carbon Steel,N/A,Benzonitrile
9,Carpenter 20,N/A,Benzonitrile
10,Cast iron,N/A,Benzonitrile
11,Ceramic Al203,N/A,Benzonitrile
12,Ceramic magnet,N/A,Benzonitrile
13,ChemRaz (FFKM),N/A,Benzonitrile
14,Copper,N/A,Benzonitrile
15,CPVC,N/A,Benzonitrile
16,EPDM,N/A,Benzonitrile
17,Epoxy,N/A,Benzonitrile
18,Fluorocarbon (FKM),N/A,Benzonitrile
19,Hastelloy-C®,C - Fair,Benzonitrile
20,Hypalon®,N/A,Benzonitrile
21,Hytrel®,N/A,Benzonitrile
22,Kalrez,N/A,Benzonitrile
23,Kel-F®,A2 - Excellent,Benzonitrile
24,LDPE,N/A,Benzonitrile
25,Natural rubber,N/A,Benzonitrile
26,Neoprene,N/A,Benzonitrile
27,NORYL®,N/A,Benzonitrile
28,Nylon,N/A,Benzonitrile
29,Polycarbonate,A1 - Excellent,Benzonitrile
30,Polyetherether Ketone (PEEK),N/A,Benzonitrile
31,Polypropylene,N/A,Benzonitrile
32,Polyurethane,N/A,Benzonitrile
33,PPS (Ryton®),N/A,Benzonitrile
34,PTFE,A2 - Excellent,Benzonitrile
35,PVC,N/A,Benzonitrile
36,PVDF (Kynar®),N/A,Benzonitrile
37,Silicone,A1 - Excellent,Benzonitrile
38,stainless steel - 304,D - Poor,Benzonitrile
39,stainless steel - 316,D - Poor,Benzonitrile
40,Titanium,N/A,Benzonitrile
41,Tygon®,N/A,Benzonitrile
42,Viton®,N/A,Benzonitrile
