,material,compatibility,chemical
0,,,Benzyl Chloride
1,ABS plastic,D - Poor,Benzyl Chloride
2,Acetal (Delrin®),A - Excellent,Benzyl Chloride
3,Aluminum,D - Poor,Benzyl Chloride
4,Brass,N/A,Benzyl Chloride
5,Bronze,D - Poor,Benzyl Chloride
6,Buna N (Nitrile),D - Poor,Benzyl Chloride
7,Carbon graphite,A1 - Excellent,Benzyl Chloride
8,Carbon Steel,D - Poor,Benzyl Chloride
9,Carpenter 20,N/A,Benzyl Chloride
10,Cast iron,N/A,Benzyl Chloride
11,Ceramic Al203,N/A,Benzyl Chloride
12,Ceramic magnet,N/A,Benzyl Chloride
13,ChemRaz (FFKM),A - Excellent,Benzyl Chloride
14,Copper,D - Poor,Benzyl Chloride
15,CPVC,N/A,Benzyl Chloride
16,EPDM,D - Poor,Benzyl Chloride
17,Epoxy,N/A,Benzyl Chloride
18,Fluorocarbon (FKM),A - Excellent,Benzyl Chloride
19,Hastelloy-C®,C - Fair,Benzyl Chloride
20,Hypalon®,D - Poor,Benzyl Chloride
21,Hytrel®,N/A,Benzyl Chloride
22,Kalrez,A - Excellent,Benzyl Chloride
23,Kel-F®,N/A,Benzyl Chloride
24,LDPE,N/A,Benzyl Chloride
25,Natural rubber,D - Poor,Benzyl Chloride
26,Neoprene,D - Poor,Benzyl Chloride
27,NORYL®,D - Poor,Benzyl Chloride
28,Nylon,A2 - Excellent,Benzyl Chloride
29,Polycarbonate,N/A,Benzyl Chloride
30,Polyetherether Ketone (PEEK),N/A,Benzyl Chloride
31,Polypropylene,C1 - Fair,Benzyl Chloride
32,Polyurethane,D - Poor,Benzyl Chloride
33,PPS (Ryton®),N/A,Benzyl Chloride
34,PTFE,N/A,Benzyl Chloride
35,PVC,N/A,Benzyl Chloride
36,PVDF (Kynar®),N/A,Benzyl Chloride
37,Silicone,D - Poor,Benzyl Chloride
38,stainless steel - 304,C1 - Fair,Benzyl Chloride
39,stainless steel - 316,B1 - Good,Benzyl Chloride
40,Titanium,N/A,Benzyl Chloride
41,Tygon®,N/A,Benzyl Chloride
42,Viton®,A2 - Excellent,Benzyl Chloride
