,material,compatibility,chemical
0,,,Bleaching Liquors
1,ABS plastic,N/A,Bleaching Liquors
2,Acetal (Delrin®),N/A,Bleaching Liquors
3,Aluminum,N/A,Bleaching Liquors
4,Brass,N/A,Bleaching Liquors
5,Bronze,N/A,Bleaching Liquors
6,Buna N (Nitrile),D - Poor,Bleaching Liquors
7,Carbon graphite,N/A,Bleaching Liquors
8,Carbon Steel,N/A,Bleaching Liquors
9,Carpenter 20,N/A,Bleaching Liquors
10,Cast iron,N/A,Bleaching Liquors
11,Ceramic Al203,N/A,Bleaching Liquors
12,Ceramic magnet,N/A,Bleaching Liquors
13,ChemRaz (FFKM),A - Excellent,Bleaching Liquors
14,Copper,N/A,Bleaching Liquors
15,CPVC,N/A,Bleaching Liquors
16,EPDM,A - Excellent,Bleaching Liquors
17,Epoxy,D - Poor,Bleaching Liquors
18,Fluorocarbon (FKM),A - Excellent,Bleaching Liquors
19,Hastelloy-C®,N/A,Bleaching Liquors
20,Hypalon®,A - Excellent,Bleaching Liquors
21,Hytrel®,N/A,Bleaching Liquors
22,Kalrez,N/A,Bleaching Liquors
23,Kel-F®,N/A,Bleaching Liquors
24,LDPE,A1 - Excellent,Bleaching Liquors
25,Natural rubber,D - Poor,Bleaching Liquors
26,Neoprene,D - Poor,Bleaching Liquors
27,NORYL®,N/A,Bleaching Liquors
28,Nylon,C - Fair,Bleaching Liquors
29,Polycarbonate,N/A,Bleaching Liquors
30,Polyetherether Ketone (PEEK),N/A,Bleaching Liquors
31,Polypropylene,A1 - Excellent,Bleaching Liquors
32,Polyurethane,D - Poor,Bleaching Liquors
33,PPS (Ryton®),N/A,Bleaching Liquors
34,PTFE,A - Excellent,Bleaching Liquors
35,PVC,A1 - Excellent,Bleaching Liquors
36,PVDF (Kynar®),N/A,Bleaching Liquors
37,Silicone,B - Good,Bleaching Liquors
38,stainless steel - 304,N/A,Bleaching Liquors
39,stainless steel - 316,N/A,Bleaching Liquors
40,Titanium,A - Excellent,Bleaching Liquors
41,Tygon®,B - Good,Bleaching Liquors
42,Viton®,A - Excellent,Bleaching Liquors
