,material,compatibility,chemical
0,,,Borax (Sodium Borate)
1,ABS plastic,N/A,Borax (Sodium Borate)
2,Acetal (Delrin®),B - Good,Borax (Sodium Borate)
3,Aluminum,B1 - Good,Borax (Sodium Borate)
4,Brass,N/A,Borax (Sodium Borate)
5,Bronze,B - Good,Borax (Sodium Borate)
6,Buna N (Nitrile),B - Good,Borax (Sodium Borate)
7,Carbon graphite,A - Excellent,Borax (Sodium Borate)
8,Carbon Steel,A - Excellent,Borax (Sodium Borate)
9,Carpenter 20,A - Excellent,Borax (Sodium Borate)
10,Cast iron,A - Excellent,Borax (Sodium Borate)
11,Ceramic Al203,N/A,Borax (Sodium Borate)
12,Ceramic magnet,A - Excellent,Borax (Sodium Borate)
13,ChemRaz (FFKM),A - Excellent,Borax (Sodium Borate)
14,Copper,B - Good,Borax (Sodium Borate)
15,CPVC,A - Excellent,Borax (Sodium Borate)
16,EPDM,A - Excellent,Borax (Sodium Borate)
17,Epoxy,A1 - Excellent,Borax (Sodium Borate)
18,Fluorocarbon (FKM),A - Excellent,Borax (Sodium Borate)
19,Hastelloy-C®,B - Good,Borax (Sodium Borate)
20,Hypalon®,A - Excellent,Borax (Sodium Borate)
21,Hytrel®,A1 - Excellent,Borax (Sodium Borate)
22,Kalrez,A - Excellent,Borax (Sodium Borate)
23,Kel-F®,A - Excellent,Borax (Sodium Borate)
24,LDPE,A2 - Excellent,Borax (Sodium Borate)
25,Natural rubber,A - Excellent,Borax (Sodium Borate)
26,Neoprene,A - Excellent,Borax (Sodium Borate)
27,NORYL®,A1 - Excellent,Borax (Sodium Borate)
28,Nylon,A - Excellent,Borax (Sodium Borate)
29,Polycarbonate,N/A,Borax (Sodium Borate)
30,Polyetherether Ketone (PEEK),A - Excellent,Borax (Sodium Borate)
31,Polypropylene,B - Good,Borax (Sodium Borate)
32,Polyurethane,B - Good,Borax (Sodium Borate)
33,PPS (Ryton®),A - Excellent,Borax (Sodium Borate)
34,PTFE,A - Excellent,Borax (Sodium Borate)
35,PVC,A1 - Excellent,Borax (Sodium Borate)
36,PVDF (Kynar®),A - Excellent,Borax (Sodium Borate)
37,Silicone,B - Good,Borax (Sodium Borate)
38,stainless steel - 304,A - Excellent,Borax (Sodium Borate)
39,stainless steel - 316,A - Excellent,Borax (Sodium Borate)
40,Titanium,B - Good,Borax (Sodium Borate)
41,Tygon®,N/A,Borax (Sodium Borate)
42,Viton®,A - Excellent,Borax (Sodium Borate)
