,material,compatibility,chemical
0,,,Boric Acid
1,ABS plastic,N/A,Boric Acid
2,Acetal (Delrin®),A - Excellent,Boric Acid
3,Aluminum,D - Poor,Boric Acid
4,Brass,N/A,Boric Acid
5,Bronze,B - Good,Boric Acid
6,Buna N (Nitrile),A - Excellent,Boric Acid
7,Carbon graphite,A - Excellent,Boric Acid
8,Carbon Steel,D - Poor,Boric Acid
9,Carpenter 20,B2 - Good,Boric Acid
10,Cast iron,D - Poor,Boric Acid
11,Ceramic Al203,A - Excellent,Boric Acid
12,Ceramic magnet,A - Excellent,Boric Acid
13,ChemRaz (FFKM),A - Excellent,Boric Acid
14,Copper,B - Good,Boric Acid
15,CPVC,A - Excellent,Boric Acid
16,EPDM,A - Excellent,Boric Acid
17,Epoxy,A1 - Excellent,Boric Acid
18,Fluorocarbon (FKM),A - Excellent,Boric Acid
19,Hastelloy-C®,A - Excellent,Boric Acid
20,Hypalon®,A - Excellent,Boric Acid
21,Hytrel®,A1 - Excellent,Boric Acid
22,Kalrez,A - Excellent,Boric Acid
23,Kel-F®,A - Excellent,Boric Acid
24,LDPE,A2 - Excellent,Boric Acid
25,Natural rubber,A - Excellent,Boric Acid
26,Neoprene,D - Poor,Boric Acid
27,NORYL®,A1 - Excellent,Boric Acid
28,Nylon,B - Good,Boric Acid
29,Polycarbonate,N/A,Boric Acid
30,Polyetherether Ketone (PEEK),A - Excellent,Boric Acid
31,Polypropylene,A - Excellent,Boric Acid
32,Polyurethane,A - Excellent,Boric Acid
33,PPS (Ryton®),A - Excellent,Boric Acid
34,PTFE,A - Excellent,Boric Acid
35,PVC,A2 - Excellent,Boric Acid
36,PVDF (Kynar®),A - Excellent,Boric Acid
37,Silicone,A - Excellent,Boric Acid
38,stainless steel - 304,B2 - Good,Boric Acid
39,stainless steel - 316,A1 - Excellent,Boric Acid
40,Titanium,A - Excellent,Boric Acid
41,Tygon®,A - Excellent,Boric Acid
42,Viton®,A - Excellent,Boric Acid
