,material,compatibility,chemical
0,,,Brewery Slop
1,ABS plastic,N/A,Brewery Slop
2,Acetal (Delrin®),B - Good,Brewery Slop
3,Aluminum,N/A,Brewery Slop
4,Brass,N/A,Brewery Slop
5,Bronze,A - Excellent,Brewery Slop
6,Buna N (Nitrile),A - Excellent,Brewery Slop
7,Carbon graphite,N/A,Brewery Slop
8,Carbon Steel,N/A,Brewery Slop
9,Carpenter 20,A - Excellent,Brewery Slop
10,Cast iron,A - Excellent,Brewery Slop
11,Ceramic Al203,N/A,Brewery Slop
12,Ceramic magnet,N/A,Brewery Slop
13,ChemRaz (FFKM),N/A,Brewery Slop
14,Copper,N/A,Brewery Slop
15,CPVC,N/A,Brewery Slop
16,EPDM,N/A,Brewery Slop
17,Epoxy,A - Excellent,Brewery Slop
18,Fluorocarbon (FKM),N/A,Brewery Slop
19,Hastelloy-C®,N/A,Brewery Slop
20,Hypalon®,N/A,Brewery Slop
21,Hytrel®,N/A,Brewery Slop
22,Kalrez,N/A,Brewery Slop
23,Kel-F®,N/A,Brewery Slop
24,LDPE,N/A,Brewery Slop
25,Natural rubber,N/A,Brewery Slop
26,Neoprene,A - Excellent,Brewery Slop
27,NORYL®,N/A,Brewery Slop
28,Nylon,N/A,Brewery Slop
29,Polycarbonate,N/A,Brewery Slop
30,Polyetherether Ketone (PEEK),N/A,Brewery Slop
31,Polypropylene,N/A,Brewery Slop
32,Polyurethane,N/A,Brewery Slop
33,PPS (Ryton®),N/A,Brewery Slop
34,PTFE,N/A,Brewery Slop
35,PVC,N/A,Brewery Slop
36,PVDF (Kynar®),N/A,Brewery Slop
37,Silicone,N/A,Brewery Slop
38,stainless steel - 304,N/A,Brewery Slop
39,stainless steel - 316,A - Excellent,Brewery Slop
40,Titanium,N/A,Brewery Slop
41,Tygon®,N/A,Brewery Slop
42,Viton®,A - Excellent,Brewery Slop
