,material,compatibility,chemical
0,,,Butane
1,ABS plastic,B - Good,Butane
2,Acetal (Delrin®),A - Excellent,Butane
3,Aluminum,A - Excellent,Butane
4,Brass,N/A,Butane
5,Bronze,C - Fair,Butane
6,Buna N (Nitrile),A - Excellent,Butane
7,Carbon graphite,A - Excellent,Butane
8,Carbon Steel,A - Excellent,Butane
9,Carpenter 20,A - Excellent,Butane
10,Cast iron,N/A,Butane
11,Ceramic Al203,N/A,Butane
12,Ceramic magnet,N/A,Butane
13,ChemRaz (FFKM),A - Excellent,Butane
14,Copper,C - Fair,Butane
15,CPVC,C1 - Fair,Butane
16,EPDM,D - Poor,Butane
17,Epoxy,A1 - Excellent,Butane
18,Fluorocarbon (FKM),A - Excellent,Butane
19,Hastelloy-C®,A - Excellent,Butane
20,Hypalon®,B - Good,Butane
21,Hytrel®,N/A,Butane
22,Kalrez,A - Excellent,Butane
23,Kel-F®,A - Excellent,Butane
24,LDPE,C1 - Fair,Butane
25,Natural rubber,D - Poor,Butane
26,Neoprene,A - Excellent,Butane
27,NORYL®,D - Poor,Butane
28,Nylon,A2 - Excellent,Butane
29,Polycarbonate,D - Poor,Butane
30,Polyetherether Ketone (PEEK),A - Excellent,Butane
31,Polypropylene,A1 - Excellent,Butane
32,Polyurethane,D - Poor,Butane
33,PPS (Ryton®),A - Excellent,Butane
34,PTFE,A - Excellent,Butane
35,PVC,C1 - Fair,Butane
36,PVDF (Kynar®),A - Excellent,Butane
37,Silicone,D - Poor,Butane
38,stainless steel - 304,A2 - Excellent,Butane
39,stainless steel - 316,A2 - Excellent,Butane
40,Titanium,A - Excellent,Butane
41,Tygon®,C - Fair,Butane
42,Viton®,A - Excellent,Butane
