,material,compatibility,chemical
0,,,Butanol (Butyl Alcohol)
1,ABS plastic,N/A,Butanol (Butyl Alcohol)
2,Acetal (Delrin®),A - Excellent,Butanol (Butyl Alcohol)
3,Aluminum,B - Good,Butanol (Butyl Alcohol)
4,Brass,N/A,Butanol (Butyl Alcohol)
5,Bronze,A - Excellent,Butanol (Butyl Alcohol)
6,Buna N (Nitrile),A - Excellent,Butanol (Butyl Alcohol)
7,Carbon graphite,A - Excellent,Butanol (Butyl Alcohol)
8,Carbon Steel,B - Good,Butanol (Butyl Alcohol)
9,Carpenter 20,A - Excellent,Butanol (Butyl Alcohol)
10,Cast iron,N/A,Butanol (Butyl Alcohol)
11,Ceramic Al203,N/A,Butanol (Butyl Alcohol)
12,Ceramic magnet,N/A,Butanol (Butyl Alcohol)
13,ChemRaz (FFKM),A - Excellent,Butanol (Butyl Alcohol)
14,Copper,B - Good,Butanol (Butyl Alcohol)
15,CPVC,A - Excellent,Butanol (Butyl Alcohol)
16,EPDM,A2 - Excellent,Butanol (Butyl Alcohol)
17,Epoxy,D - Poor,Butanol (Butyl Alcohol)
18,Fluorocarbon (FKM),A - Excellent,Butanol (Butyl Alcohol)
19,Hastelloy-C®,B - Good,Butanol (Butyl Alcohol)
20,Hypalon®,A - Excellent,Butanol (Butyl Alcohol)
21,Hytrel®,B1 - Good,Butanol (Butyl Alcohol)
22,Kalrez,A - Excellent,Butanol (Butyl Alcohol)
23,Kel-F®,A1 - Excellent,Butanol (Butyl Alcohol)
24,LDPE,B2 - Good,Butanol (Butyl Alcohol)
25,Natural rubber,A - Excellent,Butanol (Butyl Alcohol)
26,Neoprene,A - Excellent,Butanol (Butyl Alcohol)
27,NORYL®,A - Excellent,Butanol (Butyl Alcohol)
28,Nylon,B1 - Good,Butanol (Butyl Alcohol)
29,Polycarbonate,B1 - Good,Butanol (Butyl Alcohol)
30,Polyetherether Ketone (PEEK),A - Excellent,Butanol (Butyl Alcohol)
31,Polypropylene,A1 - Excellent,Butanol (Butyl Alcohol)
32,Polyurethane,D - Poor,Butanol (Butyl Alcohol)
33,PPS (Ryton®),A - Excellent,Butanol (Butyl Alcohol)
34,PTFE,A2 - Excellent,Butanol (Butyl Alcohol)
35,PVC,C1 - Fair,Butanol (Butyl Alcohol)
36,PVDF (Kynar®),A - Excellent,Butanol (Butyl Alcohol)
37,Silicone,B - Good,Butanol (Butyl Alcohol)
38,stainless steel - 304,A - Excellent,Butanol (Butyl Alcohol)
39,stainless steel - 316,A1 - Excellent,Butanol (Butyl Alcohol)
40,Titanium,B - Good,Butanol (Butyl Alcohol)
41,Tygon®,B - Good,Butanol (Butyl Alcohol)
42,Viton®,A - Excellent,Butanol (Butyl Alcohol)
