,material,compatibility,chemical
0,,,Butter
1,ABS plastic,B - Good,Butter
2,Acetal (Delrin®),A - Excellent,Butter
3,Aluminum,A - Excellent,Butter
4,Brass,N/A,Butter
5,Bronze,D - Poor,Butter
6,Buna N (Nitrile),A - Excellent,Butter
7,Carbon graphite,N/A,Butter
8,Carbon Steel,N/A,Butter
9,Carpenter 20,N/A,Butter
10,Cast iron,D - Poor,Butter
11,Ceramic Al203,N/A,Butter
12,Ceramic magnet,N/A,Butter
13,ChemRaz (FFKM),A - Excellent,Butter
14,Copper,N/A,Butter
15,CPVC,N/A,Butter
16,EPDM,A - Excellent,Butter
17,Epoxy,A - Excellent,Butter
18,Fluorocarbon (FKM),A - Excellent,Butter
19,Hastelloy-C®,N/A,Butter
20,Hypalon®,B - Good,Butter
21,Hytrel®,N/A,Butter
22,Kalrez,A - Excellent,Butter
23,Kel-F®,N/A,Butter
24,LDPE,N/A,Butter
25,Natural rubber,D - Poor,Butter
26,Neoprene,B - Good,Butter
27,NORYL®,B - Good,Butter
28,Nylon,N/A,Butter
29,Polycarbonate,N/A,Butter
30,Polyetherether Ketone (PEEK),N/A,Butter
31,Polypropylene,N/A,Butter
32,Polyurethane,D - Poor,Butter
33,PPS (Ryton®),N/A,Butter
34,PTFE,A - Excellent,Butter
35,PVC,N/A,Butter
36,PVDF (Kynar®),N/A,Butter
37,Silicone,B - Good,Butter
38,stainless steel - 304,C - Fair,Butter
39,stainless steel - 316,A - Excellent,Butter
40,Titanium,N/A,Butter
41,Tygon®,B - Good,Butter
42,Viton®,A - Excellent,Butter
