,material,compatibility,chemical
0,,,Buttermilk
1,ABS plastic,B - Good,Buttermilk
2,Acetal (Delrin®),A - Excellent,Buttermilk
3,Aluminum,A - Excellent,Buttermilk
4,Brass,N/A,Buttermilk
5,Bronze,D - Poor,Buttermilk
6,Buna N (Nitrile),A - Excellent,Buttermilk
7,Carbon graphite,A - Excellent,Buttermilk
8,Carbon Steel,D - Poor,Buttermilk
9,Carpenter 20,N/A,Buttermilk
10,Cast iron,D - Poor,Buttermilk
11,Ceramic Al203,N/A,Buttermilk
12,Ceramic magnet,N/A,Buttermilk
13,ChemRaz (FFKM),N/A,Buttermilk
14,Copper,N/A,Buttermilk
15,CPVC,A1 - Excellent,Buttermilk
16,EPDM,A1 - Excellent,Buttermilk
17,Epoxy,A1 - Excellent,Buttermilk
18,Fluorocarbon (FKM),A - Excellent,Buttermilk
19,Hastelloy-C®,A - Excellent,Buttermilk
20,Hypalon®,N/A,Buttermilk
21,Hytrel®,N/A,Buttermilk
22,Kalrez,N/A,Buttermilk
23,Kel-F®,A - Excellent,Buttermilk
24,LDPE,A1 - Excellent,Buttermilk
25,Natural rubber,D - Poor,Buttermilk
26,Neoprene,D - Poor,Buttermilk
27,NORYL®,A - Excellent,Buttermilk
28,Nylon,B1 - Good,Buttermilk
29,Polycarbonate,A1 - Excellent,Buttermilk
30,Polyetherether Ketone (PEEK),N/A,Buttermilk
31,Polypropylene,A1 - Excellent,Buttermilk
32,Polyurethane,A - Excellent,Buttermilk
33,PPS (Ryton®),N/A,Buttermilk
34,PTFE,A - Excellent,Buttermilk
35,PVC,A1 - Excellent,Buttermilk
36,PVDF (Kynar®),N/A,Buttermilk
37,Silicone,A - Excellent,Buttermilk
38,stainless steel - 304,A - Excellent,Buttermilk
39,stainless steel - 316,A - Excellent,Buttermilk
40,Titanium,N/A,Buttermilk
41,Tygon®,B - Good,Buttermilk
42,Viton®,A - Excellent,Buttermilk
