,material,compatibility,chemical
0,,,Butyl Amine
1,ABS plastic,N/A,Butyl Amine
2,Acetal (Delrin®),C1 - Fair,Butyl Amine
3,Aluminum,A2 - Excellent,Butyl Amine
4,Brass,N/A,Butyl Amine
5,Bronze,B - Good,Butyl Amine
6,Buna N (Nitrile),N/A,Butyl Amine
7,Carbon graphite,A2 - Excellent,Butyl Amine
8,Carbon Steel,A - Excellent,Butyl Amine
9,Carpenter 20,N/A,Butyl Amine
10,Cast iron,N/A,Butyl Amine
11,Ceramic Al203,N/A,Butyl Amine
12,Ceramic magnet,N/A,Butyl Amine
13,ChemRaz (FFKM),B - Good,Butyl Amine
14,Copper,N/A,Butyl Amine
15,CPVC,N/A,Butyl Amine
16,EPDM,N/A,Butyl Amine
17,Epoxy,B2 - Good,Butyl Amine
18,Fluorocarbon (FKM),D - Poor,Butyl Amine
19,Hastelloy-C®,B2 - Good,Butyl Amine
20,Hypalon®,N/A,Butyl Amine
21,Hytrel®,N/A,Butyl Amine
22,Kalrez,A - Excellent,Butyl Amine
23,Kel-F®,D - Poor,Butyl Amine
24,LDPE,C1 - Fair,Butyl Amine
25,Natural rubber,D - Poor,Butyl Amine
26,Neoprene,D - Poor,Butyl Amine
27,NORYL®,D - Poor,Butyl Amine
28,Nylon,A2 - Excellent,Butyl Amine
29,Polycarbonate,D - Poor,Butyl Amine
30,Polyetherether Ketone (PEEK),A - Excellent,Butyl Amine
31,Polypropylene,B1 - Good,Butyl Amine
32,Polyurethane,D - Poor,Butyl Amine
33,PPS (Ryton®),D - Poor,Butyl Amine
34,PTFE,A2 - Excellent,Butyl Amine
35,PVC,D - Poor,Butyl Amine
36,PVDF (Kynar®),A1 - Excellent,Butyl Amine
37,Silicone,B1 - Good,Butyl Amine
38,stainless steel - 304,N/A,Butyl Amine
39,stainless steel - 316,A - Excellent,Butyl Amine
40,Titanium,B2 - Good,Butyl Amine
41,Tygon®,D - Poor,Butyl Amine
42,Viton®,D - Poor,Butyl Amine
