,material,compatibility,chemical
0,,,Butyl Ether
1,ABS plastic,N/A,Butyl Ether
2,Acetal (Delrin®),D - Poor,Butyl Ether
3,Aluminum,A1 - Excellent,Butyl Ether
4,Brass,N/A,Butyl Ether
5,Bronze,N/A,Butyl Ether
6,Buna N (Nitrile),B2 - Good,Butyl Ether
7,Carbon graphite,A1 - Excellent,Butyl Ether
8,Carbon Steel,A - Excellent,Butyl Ether
9,Carpenter 20,N/A,Butyl Ether
10,Cast iron,N/A,Butyl Ether
11,Ceramic Al203,N/A,Butyl Ether
12,Ceramic magnet,N/A,Butyl Ether
13,ChemRaz (FFKM),N/A,Butyl Ether
14,Copper,N/A,Butyl Ether
15,CPVC,D - Poor,Butyl Ether
16,EPDM,D - Poor,Butyl Ether
17,Epoxy,A1 - Excellent,Butyl Ether
18,Fluorocarbon (FKM),D - Poor,Butyl Ether
19,Hastelloy-C®,N/A,Butyl Ether
20,Hypalon®,N/A,Butyl Ether
21,Hytrel®,N/A,Butyl Ether
22,Kalrez,N/A,Butyl Ether
23,Kel-F®,A1 - Excellent,Butyl Ether
24,LDPE,N/A,Butyl Ether
25,Natural rubber,D - Poor,Butyl Ether
26,Neoprene,D - Poor,Butyl Ether
27,NORYL®,D - Poor,Butyl Ether
28,Nylon,A2 - Excellent,Butyl Ether
29,Polycarbonate,N/A,Butyl Ether
30,Polyetherether Ketone (PEEK),N/A,Butyl Ether
31,Polypropylene,D - Poor,Butyl Ether
32,Polyurethane,N/A,Butyl Ether
33,PPS (Ryton®),A2 - Excellent,Butyl Ether
34,PTFE,A1 - Excellent,Butyl Ether
35,PVC,A2 - Excellent,Butyl Ether
36,PVDF (Kynar®),A1 - Excellent,Butyl Ether
37,Silicone,D - Poor,Butyl Ether
38,stainless steel - 304,N/A,Butyl Ether
39,stainless steel - 316,A1 - Excellent,Butyl Ether
40,Titanium,N/A,Butyl Ether
41,Tygon®,A2 - Excellent,Butyl Ether
42,Viton®,D - Poor,Butyl Ether
