,material,compatibility,chemical
0,,,Butylacetate
1,ABS plastic,N/A,Butylacetate
2,Acetal (Delrin®),A - Excellent,Butylacetate
3,Aluminum,A - Excellent,Butylacetate
4,Brass,A - Excellent,Butylacetate
5,Bronze,A - Excellent,Butylacetate
6,Buna N (Nitrile),D - Poor,Butylacetate
7,Carbon graphite,A - Excellent,Butylacetate
8,Carbon Steel,A - Excellent,Butylacetate
9,Carpenter 20,B1 - Good,Butylacetate
10,Cast iron,A - Excellent,Butylacetate
11,Ceramic Al203,N/A,Butylacetate
12,Ceramic magnet,A - Excellent,Butylacetate
13,ChemRaz (FFKM),A - Excellent,Butylacetate
14,Copper,A - Excellent,Butylacetate
15,CPVC,C1 - Fair,Butylacetate
16,EPDM,B - Good,Butylacetate
17,Epoxy,B1 - Good,Butylacetate
18,Fluorocarbon (FKM),D - Poor,Butylacetate
19,Hastelloy-C®,A - Excellent,Butylacetate
20,Hypalon®,D - Poor,Butylacetate
21,Hytrel®,B - Good,Butylacetate
22,Kalrez,A - Excellent,Butylacetate
23,Kel-F®,A1 - Excellent,Butylacetate
24,LDPE,C1 - Fair,Butylacetate
25,Natural rubber,D - Poor,Butylacetate
26,Neoprene,D - Poor,Butylacetate
27,NORYL®,B - Good,Butylacetate
28,Nylon,A - Excellent,Butylacetate
29,Polycarbonate,D - Poor,Butylacetate
30,Polyetherether Ketone (PEEK),A - Excellent,Butylacetate
31,Polypropylene,B1 - Good,Butylacetate
32,Polyurethane,D - Poor,Butylacetate
33,PPS (Ryton®),A - Excellent,Butylacetate
34,PTFE,A - Excellent,Butylacetate
35,PVC,D - Poor,Butylacetate
36,PVDF (Kynar®),B2 - Good,Butylacetate
37,Silicone,D - Poor,Butylacetate
38,stainless steel - 304,B - Good,Butylacetate
39,stainless steel - 316,A - Excellent,Butylacetate
40,Titanium,A - Excellent,Butylacetate
41,Tygon®,D - Poor,Butylacetate
42,Viton®,D - Poor,Butylacetate
