,material,compatibility,chemical
0,,,Butylene
1,ABS plastic,N/A,Butylene
2,Acetal (Delrin®),A - Excellent,Butylene
3,Aluminum,A - Excellent,Butylene
4,Brass,N/A,Butylene
5,Bronze,D - Poor,Butylene
6,Buna N (Nitrile),A - Excellent,Butylene
7,Carbon graphite,A - Excellent,Butylene
8,Carbon Steel,A - Excellent,Butylene
9,Carpenter 20,A - Excellent,Butylene
10,Cast iron,N/A,Butylene
11,Ceramic Al203,N/A,Butylene
12,Ceramic magnet,N/A,Butylene
13,ChemRaz (FFKM),A - Excellent,Butylene
14,Copper,D - Poor,Butylene
15,CPVC,A - Excellent,Butylene
16,EPDM,D - Poor,Butylene
17,Epoxy,A1 - Excellent,Butylene
18,Fluorocarbon (FKM),A - Excellent,Butylene
19,Hastelloy-C®,N/A,Butylene
20,Hypalon®,D - Poor,Butylene
21,Hytrel®,N/A,Butylene
22,Kalrez,A - Excellent,Butylene
23,Kel-F®,B1 - Good,Butylene
24,LDPE,B1 - Good,Butylene
25,Natural rubber,D - Poor,Butylene
26,Neoprene,D - Poor,Butylene
27,NORYL®,N/A,Butylene
28,Nylon,B1 - Good,Butylene
29,Polycarbonate,D - Poor,Butylene
30,Polyetherether Ketone (PEEK),A - Excellent,Butylene
31,Polypropylene,N/A,Butylene
32,Polyurethane,C - Fair,Butylene
33,PPS (Ryton®),A - Excellent,Butylene
34,PTFE,A - Excellent,Butylene
35,PVC,A1 - Excellent,Butylene
36,PVDF (Kynar®),A - Excellent,Butylene
37,Silicone,D - Poor,Butylene
38,stainless steel - 304,A - Excellent,Butylene
39,stainless steel - 316,A - Excellent,Butylene
40,Titanium,N/A,Butylene
41,Tygon®,N/A,Butylene
42,Viton®,A - Excellent,Butylene
