,material,compatibility,chemical
0,,,Butyric Acid
1,ABS plastic,D - Poor,Butyric Acid
2,Acetal (Delrin®),A - Excellent,Butyric Acid
3,Aluminum,B - Good,Butyric Acid
4,Brass,N/A,Butyric Acid
5,Bronze,D - Poor,Butyric Acid
6,Buna N (Nitrile),D - Poor,Butyric Acid
7,Carbon graphite,A - Excellent,Butyric Acid
8,Carbon Steel,D - Poor,Butyric Acid
9,Carpenter 20,B - Good,Butyric Acid
10,Cast iron,D - Poor,Butyric Acid
11,Ceramic Al203,N/A,Butyric Acid
12,Ceramic magnet,A - Excellent,Butyric Acid
13,ChemRaz (FFKM),A - Excellent,Butyric Acid
14,Copper,C - Fair,Butyric Acid
15,CPVC,D - Poor,Butyric Acid
16,EPDM,B - Good,Butyric Acid
17,Epoxy,A - Excellent,Butyric Acid
18,Fluorocarbon (FKM),B - Good,Butyric Acid
19,Hastelloy-C®,A1 - Excellent,Butyric Acid
20,Hypalon®,D - Poor,Butyric Acid
21,Hytrel®,B1 - Good,Butyric Acid
22,Kalrez,A - Excellent,Butyric Acid
23,Kel-F®,A - Excellent,Butyric Acid
24,LDPE,D - Poor,Butyric Acid
25,Natural rubber,D - Poor,Butyric Acid
26,Neoprene,D - Poor,Butyric Acid
27,NORYL®,D - Poor,Butyric Acid
28,Nylon,C1 - Fair,Butyric Acid
29,Polycarbonate,D - Poor,Butyric Acid
30,Polyetherether Ketone (PEEK),A - Excellent,Butyric Acid
31,Polypropylene,B1 - Good,Butyric Acid
32,Polyurethane,D - Poor,Butyric Acid
33,PPS (Ryton®),A - Excellent,Butyric Acid
34,PTFE,A2 - Excellent,Butyric Acid
35,PVC,B1 - Good,Butyric Acid
36,PVDF (Kynar®),A - Excellent,Butyric Acid
37,Silicone,D - Poor,Butyric Acid
38,stainless steel - 304,B2 - Good,Butyric Acid
39,stainless steel - 316,B2 - Good,Butyric Acid
40,Titanium,A - Excellent,Butyric Acid
41,Tygon®,D - Poor,Butyric Acid
42,Viton®,B1 - Good,Butyric Acid
