,material,compatibility,chemical
0,,,Calcium Bisulfate
1,ABS plastic,N/A,Calcium Bisulfate
2,Acetal (Delrin®),N/A,Calcium Bisulfate
3,Aluminum,N/A,Calcium Bisulfate
4,Brass,N/A,Calcium Bisulfate
5,Bronze,C - Fair,Calcium Bisulfate
6,Buna N (Nitrile),A - Excellent,Calcium Bisulfate
7,Carbon graphite,N/A,Calcium Bisulfate
8,Carbon Steel,N/A,Calcium Bisulfate
9,Carpenter 20,N/A,Calcium Bisulfate
10,Cast iron,D - Poor,Calcium Bisulfate
11,Ceramic Al203,N/A,Calcium Bisulfate
12,Ceramic magnet,N/A,Calcium Bisulfate
13,ChemRaz (FFKM),N/A,Calcium Bisulfate
14,Copper,N/A,Calcium Bisulfate
15,CPVC,N/A,Calcium Bisulfate
16,EPDM,A - Excellent,Calcium Bisulfate
17,Epoxy,A - Excellent,Calcium Bisulfate
18,Fluorocarbon (FKM),A - Excellent,Calcium Bisulfate
19,Hastelloy-C®,N/A,Calcium Bisulfate
20,Hypalon®,N/A,Calcium Bisulfate
21,Hytrel®,N/A,Calcium Bisulfate
22,Kalrez,N/A,Calcium Bisulfate
23,Kel-F®,N/A,Calcium Bisulfate
24,LDPE,N/A,Calcium Bisulfate
25,Natural rubber,A - Excellent,Calcium Bisulfate
26,Neoprene,A - Excellent,Calcium Bisulfate
27,NORYL®,N/A,Calcium Bisulfate
28,Nylon,N/A,Calcium Bisulfate
29,Polycarbonate,D - Poor,Calcium Bisulfate
30,Polyetherether Ketone (PEEK),N/A,Calcium Bisulfate
31,Polypropylene,N/A,Calcium Bisulfate
32,Polyurethane,A - Excellent,Calcium Bisulfate
33,PPS (Ryton®),N/A,Calcium Bisulfate
34,PTFE,N/A,Calcium Bisulfate
35,PVC,N/A,Calcium Bisulfate
36,PVDF (Kynar®),N/A,Calcium Bisulfate
37,Silicone,C - Fair,Calcium Bisulfate
38,stainless steel - 304,N/A,Calcium Bisulfate
39,stainless steel - 316,A - Excellent,Calcium Bisulfate
40,Titanium,N/A,Calcium Bisulfate
41,Tygon®,N/A,Calcium Bisulfate
42,Viton®,N/A,Calcium Bisulfate
