,material,compatibility,chemical
0,,,Calcium Hypochlorite
1,ABS plastic,N/A,Calcium Hypochlorite
2,Acetal (Delrin®),D - Poor,Calcium Hypochlorite
3,Aluminum,C1 - Fair,Calcium Hypochlorite
4,Brass,N/A,Calcium Hypochlorite
5,Bronze,D - Poor,Calcium Hypochlorite
6,Buna N (Nitrile),A - Excellent,Calcium Hypochlorite
7,Carbon graphite,A - Excellent,Calcium Hypochlorite
8,Carbon Steel,B - Good,Calcium Hypochlorite
9,Carpenter 20,B - Good,Calcium Hypochlorite
10,Cast iron,A - Excellent,Calcium Hypochlorite
11,Ceramic Al203,A - Excellent,Calcium Hypochlorite
12,Ceramic magnet,A - Excellent,Calcium Hypochlorite
13,ChemRaz (FFKM),B - Good,Calcium Hypochlorite
14,Copper,N/A,Calcium Hypochlorite
15,CPVC,A2 - Excellent,Calcium Hypochlorite
16,EPDM,A - Excellent,Calcium Hypochlorite
17,Epoxy,A1 - Excellent,Calcium Hypochlorite
18,Fluorocarbon (FKM),A - Excellent,Calcium Hypochlorite
19,Hastelloy-C®,A - Excellent,Calcium Hypochlorite
20,Hypalon®,A - Excellent,Calcium Hypochlorite
21,Hytrel®,B1 - Good,Calcium Hypochlorite
22,Kalrez,A - Excellent,Calcium Hypochlorite
23,Kel-F®,A - Excellent,Calcium Hypochlorite
24,LDPE,A2 - Excellent,Calcium Hypochlorite
25,Natural rubber,A - Excellent,Calcium Hypochlorite
26,Neoprene,A - Excellent,Calcium Hypochlorite
27,NORYL®,A2 - Excellent,Calcium Hypochlorite
28,Nylon,A2 - Excellent,Calcium Hypochlorite
29,Polycarbonate,D - Poor,Calcium Hypochlorite
30,Polyetherether Ketone (PEEK),A - Excellent,Calcium Hypochlorite
31,Polypropylene,A2 - Excellent,Calcium Hypochlorite
32,Polyurethane,D - Poor,Calcium Hypochlorite
33,PPS (Ryton®),A - Excellent,Calcium Hypochlorite
34,PTFE,A - Excellent,Calcium Hypochlorite
35,PVC,B - Good,Calcium Hypochlorite
36,PVDF (Kynar®),A2 - Excellent,Calcium Hypochlorite
37,Silicone,A - Excellent,Calcium Hypochlorite
38,stainless steel - 304,B1 - Good,Calcium Hypochlorite
39,stainless steel - 316,B - Good,Calcium Hypochlorite
40,Titanium,A - Excellent,Calcium Hypochlorite
41,Tygon®,B2 - Good,Calcium Hypochlorite
42,Viton®,A - Excellent,Calcium Hypochlorite
