,material,compatibility,chemical
0,,,Calcium Nitrate
1,ABS plastic,N/A,Calcium Nitrate
2,Acetal (Delrin®),D - Poor,Calcium Nitrate
3,Aluminum,D - Poor,Calcium Nitrate
4,Brass,N/A,Calcium Nitrate
5,Bronze,D - Poor,Calcium Nitrate
6,Buna N (Nitrile),C1 - Fair,Calcium Nitrate
7,Carbon graphite,A - Excellent,Calcium Nitrate
8,Carbon Steel,D - Poor,Calcium Nitrate
9,Carpenter 20,C - Fair,Calcium Nitrate
10,Cast iron,D - Poor,Calcium Nitrate
11,Ceramic Al203,A - Excellent,Calcium Nitrate
12,Ceramic magnet,A - Excellent,Calcium Nitrate
13,ChemRaz (FFKM),A - Excellent,Calcium Nitrate
14,Copper,N/A,Calcium Nitrate
15,CPVC,B1 - Good,Calcium Nitrate
16,EPDM,B1 - Good,Calcium Nitrate
17,Epoxy,A1 - Excellent,Calcium Nitrate
18,Fluorocarbon (FKM),A - Excellent,Calcium Nitrate
19,Hastelloy-C®,B - Good,Calcium Nitrate
20,Hypalon®,A - Excellent,Calcium Nitrate
21,Hytrel®,C1 - Fair,Calcium Nitrate
22,Kalrez,A - Excellent,Calcium Nitrate
23,Kel-F®,B1 - Good,Calcium Nitrate
24,LDPE,A1 - Excellent,Calcium Nitrate
25,Natural rubber,D - Poor,Calcium Nitrate
26,Neoprene,D - Poor,Calcium Nitrate
27,NORYL®,A - Excellent,Calcium Nitrate
28,Nylon,D - Poor,Calcium Nitrate
29,Polycarbonate,D - Poor,Calcium Nitrate
30,Polyetherether Ketone (PEEK),A - Excellent,Calcium Nitrate
31,Polypropylene,A1 - Excellent,Calcium Nitrate
32,Polyurethane,D - Poor,Calcium Nitrate
33,PPS (Ryton®),A - Excellent,Calcium Nitrate
34,PTFE,A - Excellent,Calcium Nitrate
35,PVC,B1 - Good,Calcium Nitrate
36,PVDF (Kynar®),A - Excellent,Calcium Nitrate
37,Silicone,B - Good,Calcium Nitrate
38,stainless steel - 304,C1 - Fair,Calcium Nitrate
39,stainless steel - 316,B1 - Good,Calcium Nitrate
40,Titanium,A1 - Excellent,Calcium Nitrate
41,Tygon®,A - Excellent,Calcium Nitrate
42,Viton®,A - Excellent,Calcium Nitrate
