,material,compatibility,chemical
0,,,Calcium Oxide
1,ABS plastic,D - Poor,Calcium Oxide
2,Acetal (Delrin®),A - Excellent,Calcium Oxide
3,Aluminum,C - Fair,Calcium Oxide
4,Brass,N/A,Calcium Oxide
5,Bronze,D - Poor,Calcium Oxide
6,Buna N (Nitrile),A - Excellent,Calcium Oxide
7,Carbon graphite,N/A,Calcium Oxide
8,Carbon Steel,N/A,Calcium Oxide
9,Carpenter 20,A - Excellent,Calcium Oxide
10,Cast iron,N/A,Calcium Oxide
11,Ceramic Al203,N/A,Calcium Oxide
12,Ceramic magnet,N/A,Calcium Oxide
13,ChemRaz (FFKM),A - Excellent,Calcium Oxide
14,Copper,N/A,Calcium Oxide
15,CPVC,A - Excellent,Calcium Oxide
16,EPDM,A - Excellent,Calcium Oxide
17,Epoxy,A - Excellent,Calcium Oxide
18,Fluorocarbon (FKM),A - Excellent,Calcium Oxide
19,Hastelloy-C®,A - Excellent,Calcium Oxide
20,Hypalon®,A - Excellent,Calcium Oxide
21,Hytrel®,A - Excellent,Calcium Oxide
22,Kalrez,A - Excellent,Calcium Oxide
23,Kel-F®,N/A,Calcium Oxide
24,LDPE,B1 - Good,Calcium Oxide
25,Natural rubber,B - Good,Calcium Oxide
26,Neoprene,A - Excellent,Calcium Oxide
27,NORYL®,A - Excellent,Calcium Oxide
28,Nylon,B - Good,Calcium Oxide
29,Polycarbonate,N/A,Calcium Oxide
30,Polyetherether Ketone (PEEK),A - Excellent,Calcium Oxide
31,Polypropylene,A - Excellent,Calcium Oxide
32,Polyurethane,B - Good,Calcium Oxide
33,PPS (Ryton®),A - Excellent,Calcium Oxide
34,PTFE,A - Excellent,Calcium Oxide
35,PVC,B - Good,Calcium Oxide
36,PVDF (Kynar®),A - Excellent,Calcium Oxide
37,Silicone,A - Excellent,Calcium Oxide
38,stainless steel - 304,A - Excellent,Calcium Oxide
39,stainless steel - 316,A - Excellent,Calcium Oxide
40,Titanium,A - Excellent,Calcium Oxide
41,Tygon®,C - Fair,Calcium Oxide
42,Viton®,B - Good,Calcium Oxide
