,material,compatibility,chemical
0,,,Calcium Sulfate
1,ABS plastic,C - Fair,Calcium Sulfate
2,Acetal (Delrin®),D - Poor,Calcium Sulfate
3,Aluminum,C - Fair,Calcium Sulfate
4,Brass,N/A,Calcium Sulfate
5,Bronze,A - Excellent,Calcium Sulfate
6,Buna N (Nitrile),A2 - Excellent,Calcium Sulfate
7,Carbon graphite,A - Excellent,Calcium Sulfate
8,Carbon Steel,B - Good,Calcium Sulfate
9,Carpenter 20,B1 - Good,Calcium Sulfate
10,Cast iron,A - Excellent,Calcium Sulfate
11,Ceramic Al203,A - Excellent,Calcium Sulfate
12,Ceramic magnet,A - Excellent,Calcium Sulfate
13,ChemRaz (FFKM),A - Excellent,Calcium Sulfate
14,Copper,N/A,Calcium Sulfate
15,CPVC,A2 - Excellent,Calcium Sulfate
16,EPDM,A - Excellent,Calcium Sulfate
17,Epoxy,A2 - Excellent,Calcium Sulfate
18,Fluorocarbon (FKM),A - Excellent,Calcium Sulfate
19,Hastelloy-C®,B - Good,Calcium Sulfate
20,Hypalon®,A - Excellent,Calcium Sulfate
21,Hytrel®,N/A,Calcium Sulfate
22,Kalrez,A - Excellent,Calcium Sulfate
23,Kel-F®,A - Excellent,Calcium Sulfate
24,LDPE,B1 - Good,Calcium Sulfate
25,Natural rubber,B - Good,Calcium Sulfate
26,Neoprene,B - Good,Calcium Sulfate
27,NORYL®,A - Excellent,Calcium Sulfate
28,Nylon,D - Poor,Calcium Sulfate
29,Polycarbonate,A2 - Excellent,Calcium Sulfate
30,Polyetherether Ketone (PEEK),A - Excellent,Calcium Sulfate
31,Polypropylene,A - Excellent,Calcium Sulfate
32,Polyurethane,B - Good,Calcium Sulfate
33,PPS (Ryton®),A - Excellent,Calcium Sulfate
34,PTFE,A - Excellent,Calcium Sulfate
35,PVC,B2 - Good,Calcium Sulfate
36,PVDF (Kynar®),A - Excellent,Calcium Sulfate
37,Silicone,N/A,Calcium Sulfate
38,stainless steel - 304,B - Good,Calcium Sulfate
39,stainless steel - 316,B - Good,Calcium Sulfate
40,Titanium,A - Excellent,Calcium Sulfate
41,Tygon®,N/A,Calcium Sulfate
42,Viton®,A - Excellent,Calcium Sulfate
