,material,compatibility,chemical
0,,,Calgon
1,ABS plastic,N/A,Calgon
2,Acetal (Delrin®),A - Excellent,Calgon
3,Aluminum,N/A,Calgon
4,Brass,N/A,Calgon
5,Bronze,C - Fair,Calgon
6,Buna N (Nitrile),A - Excellent,Calgon
7,Carbon graphite,N/A,Calgon
8,Carbon Steel,N/A,Calgon
9,Carpenter 20,N/A,Calgon
10,Cast iron,D - Poor,Calgon
11,Ceramic Al203,N/A,Calgon
12,Ceramic magnet,N/A,Calgon
13,ChemRaz (FFKM),N/A,Calgon
14,Copper,N/A,Calgon
15,CPVC,N/A,Calgon
16,EPDM,A - Excellent,Calgon
17,Epoxy,A - Excellent,Calgon
18,Fluorocarbon (FKM),A - Excellent,Calgon
19,Hastelloy-C®,N/A,Calgon
20,Hypalon®,A - Excellent,Calgon
21,Hytrel®,N/A,Calgon
22,Kalrez,N/A,Calgon
23,Kel-F®,N/A,Calgon
24,LDPE,N/A,Calgon
25,Natural rubber,A - Excellent,Calgon
26,Neoprene,A - Excellent,Calgon
27,NORYL®,A - Excellent,Calgon
28,Nylon,A - Excellent,Calgon
29,Polycarbonate,N/A,Calgon
30,Polyetherether Ketone (PEEK),A - Excellent,Calgon
31,Polypropylene,A - Excellent,Calgon
32,Polyurethane,D - Poor,Calgon
33,PPS (Ryton®),N/A,Calgon
34,PTFE,N/A,Calgon
35,PVC,N/A,Calgon
36,PVDF (Kynar®),N/A,Calgon
37,Silicone,A - Excellent,Calgon
38,stainless steel - 304,A - Excellent,Calgon
39,stainless steel - 316,A - Excellent,Calgon
40,Titanium,N/A,Calgon
41,Tygon®,N/A,Calgon
42,Viton®,A - Excellent,Calgon
