,material,compatibility,chemical
0,,,Cane Juice
1,ABS plastic,N/A,Cane Juice
2,Acetal (Delrin®),A - Excellent,Cane Juice
3,Aluminum,B - Good,Cane Juice
4,Brass,N/A,Cane Juice
5,Bronze,A - Excellent,Cane Juice
6,Buna N (Nitrile),A - Excellent,Cane Juice
7,Carbon graphite,N/A,Cane Juice
8,Carbon Steel,N/A,Cane Juice
9,Carpenter 20,A - Excellent,Cane Juice
10,Cast iron,A - Excellent,Cane Juice
11,Ceramic Al203,N/A,Cane Juice
12,Ceramic magnet,N/A,Cane Juice
13,ChemRaz (FFKM),N/A,Cane Juice
14,Copper,N/A,Cane Juice
15,CPVC,A2 - Excellent,Cane Juice
16,EPDM,A - Excellent,Cane Juice
17,Epoxy,A - Excellent,Cane Juice
18,Fluorocarbon (FKM),N/A,Cane Juice
19,Hastelloy-C®,N/A,Cane Juice
20,Hypalon®,A - Excellent,Cane Juice
21,Hytrel®,N/A,Cane Juice
22,Kalrez,N/A,Cane Juice
23,Kel-F®,N/A,Cane Juice
24,LDPE,N/A,Cane Juice
25,Natural rubber,A - Excellent,Cane Juice
26,Neoprene,A - Excellent,Cane Juice
27,NORYL®,N/A,Cane Juice
28,Nylon,A - Excellent,Cane Juice
29,Polycarbonate,N/A,Cane Juice
30,Polyetherether Ketone (PEEK),N/A,Cane Juice
31,Polypropylene,C1 - Fair,Cane Juice
32,Polyurethane,A - Excellent,Cane Juice
33,PPS (Ryton®),N/A,Cane Juice
34,PTFE,A - Excellent,Cane Juice
35,PVC,A1 - Excellent,Cane Juice
36,PVDF (Kynar®),A1 - Excellent,Cane Juice
37,Silicone,A - Excellent,Cane Juice
38,stainless steel - 304,A - Excellent,Cane Juice
39,stainless steel - 316,A - Excellent,Cane Juice
40,Titanium,N/A,Cane Juice
41,Tygon®,A - Excellent,Cane Juice
42,Viton®,A - Excellent,Cane Juice
