,material,compatibility,chemical
0,,,Carbolic Acid (Phenol)
1,ABS plastic,D - Poor,Carbolic Acid (Phenol)
2,Acetal (Delrin®),D - Poor,Carbolic Acid (Phenol)
3,Aluminum,A - Excellent,Carbolic Acid (Phenol)
4,Brass,D - Poor,Carbolic Acid (Phenol)
5,Bronze,B - Good,Carbolic Acid (Phenol)
6,Buna N (Nitrile),D - Poor,Carbolic Acid (Phenol)
7,Carbon graphite,A - Excellent,Carbolic Acid (Phenol)
8,Carbon Steel,N/A,Carbolic Acid (Phenol)
9,Carpenter 20,C - Fair,Carbolic Acid (Phenol)
10,Cast iron,D - Poor,Carbolic Acid (Phenol)
11,Ceramic Al203,A - Excellent,Carbolic Acid (Phenol)
12,Ceramic magnet,N/A,Carbolic Acid (Phenol)
13,ChemRaz (FFKM),A - Excellent,Carbolic Acid (Phenol)
14,Copper,D - Poor,Carbolic Acid (Phenol)
15,CPVC,B1 - Good,Carbolic Acid (Phenol)
16,EPDM,B - Good,Carbolic Acid (Phenol)
17,Epoxy,C - Fair,Carbolic Acid (Phenol)
18,Fluorocarbon (FKM),A - Excellent,Carbolic Acid (Phenol)
19,Hastelloy-C®,A - Excellent,Carbolic Acid (Phenol)
20,Hypalon®,D - Poor,Carbolic Acid (Phenol)
21,Hytrel®,D - Poor,Carbolic Acid (Phenol)
22,Kalrez,A - Excellent,Carbolic Acid (Phenol)
23,Kel-F®,B - Good,Carbolic Acid (Phenol)
24,LDPE,D - Poor,Carbolic Acid (Phenol)
25,Natural rubber,D - Poor,Carbolic Acid (Phenol)
26,Neoprene,D - Poor,Carbolic Acid (Phenol)
27,NORYL®,D - Poor,Carbolic Acid (Phenol)
28,Nylon,D - Poor,Carbolic Acid (Phenol)
29,Polycarbonate,D - Poor,Carbolic Acid (Phenol)
30,Polyetherether Ketone (PEEK),D - Poor,Carbolic Acid (Phenol)
31,Polypropylene,B - Good,Carbolic Acid (Phenol)
32,Polyurethane,D - Poor,Carbolic Acid (Phenol)
33,PPS (Ryton®),A - Excellent,Carbolic Acid (Phenol)
34,PTFE,A - Excellent,Carbolic Acid (Phenol)
35,PVC,D - Poor,Carbolic Acid (Phenol)
36,PVDF (Kynar®),A1 - Excellent,Carbolic Acid (Phenol)
37,Silicone,D - Poor,Carbolic Acid (Phenol)
38,stainless steel - 304,B - Good,Carbolic Acid (Phenol)
39,stainless steel - 316,B - Good,Carbolic Acid (Phenol)
40,Titanium,A - Excellent,Carbolic Acid (Phenol)
41,Tygon®,B - Good,Carbolic Acid (Phenol)
42,Viton®,A - Excellent,Carbolic Acid (Phenol)
