,material,compatibility,chemical
0,,,Carbon Bisulfide
1,ABS plastic,N/A,Carbon Bisulfide
2,Acetal (Delrin®),A - Excellent,Carbon Bisulfide
3,Aluminum,B - Good,Carbon Bisulfide
4,Brass,N/A,Carbon Bisulfide
5,Bronze,B - Good,Carbon Bisulfide
6,Buna N (Nitrile),C - Fair,Carbon Bisulfide
7,Carbon graphite,N/A,Carbon Bisulfide
8,Carbon Steel,N/A,Carbon Bisulfide
9,Carpenter 20,B - Good,Carbon Bisulfide
10,Cast iron,N/A,Carbon Bisulfide
11,Ceramic Al203,N/A,Carbon Bisulfide
12,Ceramic magnet,N/A,Carbon Bisulfide
13,ChemRaz (FFKM),A - Excellent,Carbon Bisulfide
14,Copper,N/A,Carbon Bisulfide
15,CPVC,D - Poor,Carbon Bisulfide
16,EPDM,D - Poor,Carbon Bisulfide
17,Epoxy,A - Excellent,Carbon Bisulfide
18,Fluorocarbon (FKM),A - Excellent,Carbon Bisulfide
19,Hastelloy-C®,N/A,Carbon Bisulfide
20,Hypalon®,D - Poor,Carbon Bisulfide
21,Hytrel®,C1 - Fair,Carbon Bisulfide
22,Kalrez,A - Excellent,Carbon Bisulfide
23,Kel-F®,N/A,Carbon Bisulfide
24,LDPE,N/A,Carbon Bisulfide
25,Natural rubber,D - Poor,Carbon Bisulfide
26,Neoprene,D - Poor,Carbon Bisulfide
27,NORYL®,N/A,Carbon Bisulfide
28,Nylon,A - Excellent,Carbon Bisulfide
29,Polycarbonate,N/A,Carbon Bisulfide
30,Polyetherether Ketone (PEEK),D - Poor,Carbon Bisulfide
31,Polypropylene,D - Poor,Carbon Bisulfide
32,Polyurethane,D - Poor,Carbon Bisulfide
33,PPS (Ryton®),N/A,Carbon Bisulfide
34,PTFE,N/A,Carbon Bisulfide
35,PVC,D - Poor,Carbon Bisulfide
36,PVDF (Kynar®),N/A,Carbon Bisulfide
37,Silicone,N/A,Carbon Bisulfide
38,stainless steel - 304,A - Excellent,Carbon Bisulfide
39,stainless steel - 316,B - Good,Carbon Bisulfide
40,Titanium,N/A,Carbon Bisulfide
41,Tygon®,D - Poor,Carbon Bisulfide
42,Viton®,A - Excellent,Carbon Bisulfide
