,material,compatibility,chemical
0,,,Carbon Dioxide (dry)
1,ABS plastic,B - Good,Carbon Dioxide (dry)
2,Acetal (Delrin®),A - Excellent,Carbon Dioxide (dry)
3,Aluminum,B1 - Good,Carbon Dioxide (dry)
4,Brass,B - Good,Carbon Dioxide (dry)
5,Bronze,A - Excellent,Carbon Dioxide (dry)
6,Buna N (Nitrile),A - Excellent,Carbon Dioxide (dry)
7,Carbon graphite,A - Excellent,Carbon Dioxide (dry)
8,Carbon Steel,A - Excellent,Carbon Dioxide (dry)
9,Carpenter 20,A - Excellent,Carbon Dioxide (dry)
10,Cast iron,D - Poor,Carbon Dioxide (dry)
11,Ceramic Al203,N/A,Carbon Dioxide (dry)
12,Ceramic magnet,N/A,Carbon Dioxide (dry)
13,ChemRaz (FFKM),A - Excellent,Carbon Dioxide (dry)
14,Copper,N/A,Carbon Dioxide (dry)
15,CPVC,A - Excellent,Carbon Dioxide (dry)
16,EPDM,B - Good,Carbon Dioxide (dry)
17,Epoxy,A1 - Excellent,Carbon Dioxide (dry)
18,Fluorocarbon (FKM),A - Excellent,Carbon Dioxide (dry)
19,Hastelloy-C®,A - Excellent,Carbon Dioxide (dry)
20,Hypalon®,B - Good,Carbon Dioxide (dry)
21,Hytrel®,A1 - Excellent,Carbon Dioxide (dry)
22,Kalrez,A - Excellent,Carbon Dioxide (dry)
23,Kel-F®,A - Excellent,Carbon Dioxide (dry)
24,LDPE,A1 - Excellent,Carbon Dioxide (dry)
25,Natural rubber,B - Good,Carbon Dioxide (dry)
26,Neoprene,B - Good,Carbon Dioxide (dry)
27,NORYL®,A1 - Excellent,Carbon Dioxide (dry)
28,Nylon,A1 - Excellent,Carbon Dioxide (dry)
29,Polycarbonate,N/A,Carbon Dioxide (dry)
30,Polyetherether Ketone (PEEK),A - Excellent,Carbon Dioxide (dry)
31,Polypropylene,A2 - Excellent,Carbon Dioxide (dry)
32,Polyurethane,A - Excellent,Carbon Dioxide (dry)
33,PPS (Ryton®),A - Excellent,Carbon Dioxide (dry)
34,PTFE,A - Excellent,Carbon Dioxide (dry)
35,PVC,A2 - Excellent,Carbon Dioxide (dry)
36,PVDF (Kynar®),A - Excellent,Carbon Dioxide (dry)
37,Silicone,B - Good,Carbon Dioxide (dry)
38,stainless steel - 304,A - Excellent,Carbon Dioxide (dry)
39,stainless steel - 316,A1 - Excellent,Carbon Dioxide (dry)
40,Titanium,A - Excellent,Carbon Dioxide (dry)
41,Tygon®,N/A,Carbon Dioxide (dry)
42,Viton®,B - Good,Carbon Dioxide (dry)
