,material,compatibility,chemical
0,,,Carbon Dioxide (wet)
1,ABS plastic,B - Good,Carbon Dioxide (wet)
2,Acetal (Delrin®),A - Excellent,Carbon Dioxide (wet)
3,Aluminum,A1 - Excellent,Carbon Dioxide (wet)
4,Brass,N/A,Carbon Dioxide (wet)
5,Bronze,A - Excellent,Carbon Dioxide (wet)
6,Buna N (Nitrile),A - Excellent,Carbon Dioxide (wet)
7,Carbon graphite,A - Excellent,Carbon Dioxide (wet)
8,Carbon Steel,C - Fair,Carbon Dioxide (wet)
9,Carpenter 20,A - Excellent,Carbon Dioxide (wet)
10,Cast iron,D - Poor,Carbon Dioxide (wet)
11,Ceramic Al203,A - Excellent,Carbon Dioxide (wet)
12,Ceramic magnet,N/A,Carbon Dioxide (wet)
13,ChemRaz (FFKM),A - Excellent,Carbon Dioxide (wet)
14,Copper,N/A,Carbon Dioxide (wet)
15,CPVC,A - Excellent,Carbon Dioxide (wet)
16,EPDM,B - Good,Carbon Dioxide (wet)
17,Epoxy,A1 - Excellent,Carbon Dioxide (wet)
18,Fluorocarbon (FKM),B - Good,Carbon Dioxide (wet)
19,Hastelloy-C®,A - Excellent,Carbon Dioxide (wet)
20,Hypalon®,B - Good,Carbon Dioxide (wet)
21,Hytrel®,N/A,Carbon Dioxide (wet)
22,Kalrez,A - Excellent,Carbon Dioxide (wet)
23,Kel-F®,A - Excellent,Carbon Dioxide (wet)
24,LDPE,A1 - Excellent,Carbon Dioxide (wet)
25,Natural rubber,B - Good,Carbon Dioxide (wet)
26,Neoprene,B - Good,Carbon Dioxide (wet)
27,NORYL®,A1 - Excellent,Carbon Dioxide (wet)
28,Nylon,A1 - Excellent,Carbon Dioxide (wet)
29,Polycarbonate,N/A,Carbon Dioxide (wet)
30,Polyetherether Ketone (PEEK),B - Good,Carbon Dioxide (wet)
31,Polypropylene,A2 - Excellent,Carbon Dioxide (wet)
32,Polyurethane,D - Poor,Carbon Dioxide (wet)
33,PPS (Ryton®),A - Excellent,Carbon Dioxide (wet)
34,PTFE,A - Excellent,Carbon Dioxide (wet)
35,PVC,A1 - Excellent,Carbon Dioxide (wet)
36,PVDF (Kynar®),A - Excellent,Carbon Dioxide (wet)
37,Silicone,B - Good,Carbon Dioxide (wet)
38,stainless steel - 304,A - Excellent,Carbon Dioxide (wet)
39,stainless steel - 316,A1 - Excellent,Carbon Dioxide (wet)
40,Titanium,A - Excellent,Carbon Dioxide (wet)
41,Tygon®,N/A,Carbon Dioxide (wet)
42,Viton®,B - Good,Carbon Dioxide (wet)
