,material,compatibility,chemical
0,,,Carbon Disulfide
1,ABS plastic,N/A,Carbon Disulfide
2,Acetal (Delrin®),A1 - Excellent,Carbon Disulfide
3,Aluminum,A - Excellent,Carbon Disulfide
4,Brass,N/A,Carbon Disulfide
5,Bronze,D - Poor,Carbon Disulfide
6,Buna N (Nitrile),D - Poor,Carbon Disulfide
7,Carbon graphite,A - Excellent,Carbon Disulfide
8,Carbon Steel,B - Good,Carbon Disulfide
9,Carpenter 20,B - Good,Carbon Disulfide
10,Cast iron,A - Excellent,Carbon Disulfide
11,Ceramic Al203,N/A,Carbon Disulfide
12,Ceramic magnet,N/A,Carbon Disulfide
13,ChemRaz (FFKM),A - Excellent,Carbon Disulfide
14,Copper,N/A,Carbon Disulfide
15,CPVC,D - Poor,Carbon Disulfide
16,EPDM,D - Poor,Carbon Disulfide
17,Epoxy,C1 - Fair,Carbon Disulfide
18,Fluorocarbon (FKM),A - Excellent,Carbon Disulfide
19,Hastelloy-C®,B - Good,Carbon Disulfide
20,Hypalon®,D - Poor,Carbon Disulfide
21,Hytrel®,N/A,Carbon Disulfide
22,Kalrez,A - Excellent,Carbon Disulfide
23,Kel-F®,A - Excellent,Carbon Disulfide
24,LDPE,C1 - Fair,Carbon Disulfide
25,Natural rubber,D - Poor,Carbon Disulfide
26,Neoprene,D - Poor,Carbon Disulfide
27,NORYL®,D - Poor,Carbon Disulfide
28,Nylon,B1 - Good,Carbon Disulfide
29,Polycarbonate,D - Poor,Carbon Disulfide
30,Polyetherether Ketone (PEEK),D - Poor,Carbon Disulfide
31,Polypropylene,D - Poor,Carbon Disulfide
32,Polyurethane,D - Poor,Carbon Disulfide
33,PPS (Ryton®),A - Excellent,Carbon Disulfide
34,PTFE,A - Excellent,Carbon Disulfide
35,PVC,D - Poor,Carbon Disulfide
36,PVDF (Kynar®),B2 - Good,Carbon Disulfide
37,Silicone,N/A,Carbon Disulfide
38,stainless steel - 304,A1 - Excellent,Carbon Disulfide
39,stainless steel - 316,B - Good,Carbon Disulfide
40,Titanium,B - Good,Carbon Disulfide
41,Tygon®,N/A,Carbon Disulfide
42,Viton®,A1 - Excellent,Carbon Disulfide
