,material,compatibility,chemical
0,,,Carbon Monoxide
1,ABS plastic,N/A,Carbon Monoxide
2,Acetal (Delrin®),A - Excellent,Carbon Monoxide
3,Aluminum,A - Excellent,Carbon Monoxide
4,Brass,N/A,Carbon Monoxide
5,Bronze,A - Excellent,Carbon Monoxide
6,Buna N (Nitrile),A - Excellent,Carbon Monoxide
7,Carbon graphite,A - Excellent,Carbon Monoxide
8,Carbon Steel,A - Excellent,Carbon Monoxide
9,Carpenter 20,B - Good,Carbon Monoxide
10,Cast iron,A - Excellent,Carbon Monoxide
11,Ceramic Al203,N/A,Carbon Monoxide
12,Ceramic magnet,N/A,Carbon Monoxide
13,ChemRaz (FFKM),B - Good,Carbon Monoxide
14,Copper,A - Excellent,Carbon Monoxide
15,CPVC,A2 - Excellent,Carbon Monoxide
16,EPDM,A - Excellent,Carbon Monoxide
17,Epoxy,A1 - Excellent,Carbon Monoxide
18,Fluorocarbon (FKM),A - Excellent,Carbon Monoxide
19,Hastelloy-C®,B - Good,Carbon Monoxide
20,Hypalon®,C - Fair,Carbon Monoxide
21,Hytrel®,A - Excellent,Carbon Monoxide
22,Kalrez,A - Excellent,Carbon Monoxide
23,Kel-F®,A1 - Excellent,Carbon Monoxide
24,LDPE,A2 - Excellent,Carbon Monoxide
25,Natural rubber,D - Poor,Carbon Monoxide
26,Neoprene,B - Good,Carbon Monoxide
27,NORYL®,A2 - Excellent,Carbon Monoxide
28,Nylon,A1 - Excellent,Carbon Monoxide
29,Polycarbonate,N/A,Carbon Monoxide
30,Polyetherether Ketone (PEEK),B - Good,Carbon Monoxide
31,Polypropylene,A - Excellent,Carbon Monoxide
32,Polyurethane,A - Excellent,Carbon Monoxide
33,PPS (Ryton®),N/A,Carbon Monoxide
34,PTFE,A - Excellent,Carbon Monoxide
35,PVC,A2 - Excellent,Carbon Monoxide
36,PVDF (Kynar®),B - Good,Carbon Monoxide
37,Silicone,A2 - Excellent,Carbon Monoxide
38,stainless steel - 304,A - Excellent,Carbon Monoxide
39,stainless steel - 316,A - Excellent,Carbon Monoxide
40,Titanium,N/A,Carbon Monoxide
41,Tygon®,N/A,Carbon Monoxide
42,Viton®,A - Excellent,Carbon Monoxide
