,material,compatibility,chemical
0,,,Carbon Tetrachloride (dry)
1,ABS plastic,D - Poor,Carbon Tetrachloride (dry)
2,Acetal (Delrin®),N/A,Carbon Tetrachloride (dry)
3,Aluminum,D - Poor,Carbon Tetrachloride (dry)
4,Brass,A1 - Excellent,Carbon Tetrachloride (dry)
5,Bronze,B2 - Good,Carbon Tetrachloride (dry)
6,Buna N (Nitrile),C1 - Fair,Carbon Tetrachloride (dry)
7,Carbon graphite,A2 - Excellent,Carbon Tetrachloride (dry)
8,Carbon Steel,A - Excellent,Carbon Tetrachloride (dry)
9,Carpenter 20,B - Good,Carbon Tetrachloride (dry)
10,Cast iron,N/A,Carbon Tetrachloride (dry)
11,Ceramic Al203,A - Excellent,Carbon Tetrachloride (dry)
12,Ceramic magnet,A - Excellent,Carbon Tetrachloride (dry)
13,ChemRaz (FFKM),N/A,Carbon Tetrachloride (dry)
14,Copper,N/A,Carbon Tetrachloride (dry)
15,CPVC,N/A,Carbon Tetrachloride (dry)
16,EPDM,B1 - Good,Carbon Tetrachloride (dry)
17,Epoxy,N/A,Carbon Tetrachloride (dry)
18,Fluorocarbon (FKM),A - Excellent,Carbon Tetrachloride (dry)
19,Hastelloy-C®,B - Good,Carbon Tetrachloride (dry)
20,Hypalon®,D - Poor,Carbon Tetrachloride (dry)
21,Hytrel®,D - Poor,Carbon Tetrachloride (dry)
22,Kalrez,N/A,Carbon Tetrachloride (dry)
23,Kel-F®,D - Poor,Carbon Tetrachloride (dry)
24,LDPE,D - Poor,Carbon Tetrachloride (dry)
25,Natural rubber,D - Poor,Carbon Tetrachloride (dry)
26,Neoprene,D - Poor,Carbon Tetrachloride (dry)
27,NORYL®,D - Poor,Carbon Tetrachloride (dry)
28,Nylon,N/A,Carbon Tetrachloride (dry)
29,Polycarbonate,N/A,Carbon Tetrachloride (dry)
30,Polyetherether Ketone (PEEK),N/A,Carbon Tetrachloride (dry)
31,Polypropylene,D - Poor,Carbon Tetrachloride (dry)
32,Polyurethane,D - Poor,Carbon Tetrachloride (dry)
33,PPS (Ryton®),A2 - Excellent,Carbon Tetrachloride (dry)
34,PTFE,A - Excellent,Carbon Tetrachloride (dry)
35,PVC,N/A,Carbon Tetrachloride (dry)
36,PVDF (Kynar®),A2 - Excellent,Carbon Tetrachloride (dry)
37,Silicone,D - Poor,Carbon Tetrachloride (dry)
38,stainless steel - 304,B - Good,Carbon Tetrachloride (dry)
39,stainless steel - 316,B2 - Good,Carbon Tetrachloride (dry)
40,Titanium,A2 - Excellent,Carbon Tetrachloride (dry)
41,Tygon®,N/A,Carbon Tetrachloride (dry)
42,Viton®,A2 - Excellent,Carbon Tetrachloride (dry)
