,material,compatibility,chemical
0,,,Carbon Tetrachloride (wet)
1,ABS plastic,D - Poor,Carbon Tetrachloride (wet)
2,Acetal (Delrin®),A1 - Excellent,Carbon Tetrachloride (wet)
3,Aluminum,D - Poor,Carbon Tetrachloride (wet)
4,Brass,B1 - Good,Carbon Tetrachloride (wet)
5,Bronze,A2 - Excellent,Carbon Tetrachloride (wet)
6,Buna N (Nitrile),D - Poor,Carbon Tetrachloride (wet)
7,Carbon graphite,A2 - Excellent,Carbon Tetrachloride (wet)
8,Carbon Steel,B - Good,Carbon Tetrachloride (wet)
9,Carpenter 20,A - Excellent,Carbon Tetrachloride (wet)
10,Cast iron,C - Fair,Carbon Tetrachloride (wet)
11,Ceramic Al203,A - Excellent,Carbon Tetrachloride (wet)
12,Ceramic magnet,N/A,Carbon Tetrachloride (wet)
13,ChemRaz (FFKM),N/A,Carbon Tetrachloride (wet)
14,Copper,N/A,Carbon Tetrachloride (wet)
15,CPVC,D - Poor,Carbon Tetrachloride (wet)
16,EPDM,D - Poor,Carbon Tetrachloride (wet)
17,Epoxy,N/A,Carbon Tetrachloride (wet)
18,Fluorocarbon (FKM),N/A,Carbon Tetrachloride (wet)
19,Hastelloy-C®,B - Good,Carbon Tetrachloride (wet)
20,Hypalon®,D - Poor,Carbon Tetrachloride (wet)
21,Hytrel®,N/A,Carbon Tetrachloride (wet)
22,Kalrez,N/A,Carbon Tetrachloride (wet)
23,Kel-F®,A1 - Excellent,Carbon Tetrachloride (wet)
24,LDPE,N/A,Carbon Tetrachloride (wet)
25,Natural rubber,D - Poor,Carbon Tetrachloride (wet)
26,Neoprene,D - Poor,Carbon Tetrachloride (wet)
27,NORYL®,D - Poor,Carbon Tetrachloride (wet)
28,Nylon,N/A,Carbon Tetrachloride (wet)
29,Polycarbonate,N/A,Carbon Tetrachloride (wet)
30,Polyetherether Ketone (PEEK),N/A,Carbon Tetrachloride (wet)
31,Polypropylene,D - Poor,Carbon Tetrachloride (wet)
32,Polyurethane,D - Poor,Carbon Tetrachloride (wet)
33,PPS (Ryton®),A2 - Excellent,Carbon Tetrachloride (wet)
34,PTFE,A - Excellent,Carbon Tetrachloride (wet)
35,PVC,N/A,Carbon Tetrachloride (wet)
36,PVDF (Kynar®),A2 - Excellent,Carbon Tetrachloride (wet)
37,Silicone,D - Poor,Carbon Tetrachloride (wet)
38,stainless steel - 304,A2 - Excellent,Carbon Tetrachloride (wet)
39,stainless steel - 316,A2 - Excellent,Carbon Tetrachloride (wet)
40,Titanium,A2 - Excellent,Carbon Tetrachloride (wet)
41,Tygon®,N/A,Carbon Tetrachloride (wet)
42,Viton®,N/A,Carbon Tetrachloride (wet)
