,material,compatibility,chemical
0,,,Carbon Tetrachloride
1,ABS plastic,D - Poor,Carbon Tetrachloride
2,Acetal (Delrin®),B1 - Good,Carbon Tetrachloride
3,Aluminum,D - Poor,Carbon Tetrachloride
4,Brass,N/A,Carbon Tetrachloride
5,Bronze,A2 - Excellent,Carbon Tetrachloride
6,Buna N (Nitrile),D - Poor,Carbon Tetrachloride
7,Carbon graphite,A - Excellent,Carbon Tetrachloride
8,Carbon Steel,N/A,Carbon Tetrachloride
9,Carpenter 20,B - Good,Carbon Tetrachloride
10,Cast iron,D - Poor,Carbon Tetrachloride
11,Ceramic Al203,A - Excellent,Carbon Tetrachloride
12,Ceramic magnet,A - Excellent,Carbon Tetrachloride
13,ChemRaz (FFKM),A - Excellent,Carbon Tetrachloride
14,Copper,A - Excellent,Carbon Tetrachloride
15,CPVC,D - Poor,Carbon Tetrachloride
16,EPDM,D - Poor,Carbon Tetrachloride
17,Epoxy,A1 - Excellent,Carbon Tetrachloride
18,Fluorocarbon (FKM),A - Excellent,Carbon Tetrachloride
19,Hastelloy-C®,A1 - Excellent,Carbon Tetrachloride
20,Hypalon®,D - Poor,Carbon Tetrachloride
21,Hytrel®,D - Poor,Carbon Tetrachloride
22,Kalrez,B - Good,Carbon Tetrachloride
23,Kel-F®,A1 - Excellent,Carbon Tetrachloride
24,LDPE,D - Poor,Carbon Tetrachloride
25,Natural rubber,D - Poor,Carbon Tetrachloride
26,Neoprene,D - Poor,Carbon Tetrachloride
27,NORYL®,D - Poor,Carbon Tetrachloride
28,Nylon,D - Poor,Carbon Tetrachloride
29,Polycarbonate,D - Poor,Carbon Tetrachloride
30,Polyetherether Ketone (PEEK),A - Excellent,Carbon Tetrachloride
31,Polypropylene,D - Poor,Carbon Tetrachloride
32,Polyurethane,D - Poor,Carbon Tetrachloride
33,PPS (Ryton®),A - Excellent,Carbon Tetrachloride
34,PTFE,A - Excellent,Carbon Tetrachloride
35,PVC,D - Poor,Carbon Tetrachloride
36,PVDF (Kynar®),A2 - Excellent,Carbon Tetrachloride
37,Silicone,D - Poor,Carbon Tetrachloride
38,stainless steel - 304,B - Good,Carbon Tetrachloride
39,stainless steel - 316,B - Good,Carbon Tetrachloride
40,Titanium,A - Excellent,Carbon Tetrachloride
41,Tygon®,B - Good,Carbon Tetrachloride
42,Viton®,A - Excellent,Carbon Tetrachloride
