,material,compatibility,chemical
0,,,Carbonated Water
1,ABS plastic,N/A,Carbonated Water
2,Acetal (Delrin®),A - Excellent,Carbonated Water
3,Aluminum,A - Excellent,Carbonated Water
4,Brass,D - Poor,Carbonated Water
5,Bronze,A - Excellent,Carbonated Water
6,Buna N (Nitrile),A - Excellent,Carbonated Water
7,Carbon graphite,N/A,Carbonated Water
8,Carbon Steel,N/A,Carbonated Water
9,Carpenter 20,C - Fair,Carbonated Water
10,Cast iron,D - Poor,Carbonated Water
11,Ceramic Al203,N/A,Carbonated Water
12,Ceramic magnet,N/A,Carbonated Water
13,ChemRaz (FFKM),N/A,Carbonated Water
14,Copper,B - Good,Carbonated Water
15,CPVC,A - Excellent,Carbonated Water
16,EPDM,N/A,Carbonated Water
17,Epoxy,A - Excellent,Carbonated Water
18,Fluorocarbon (FKM),A - Excellent,Carbonated Water
19,Hastelloy-C®,N/A,Carbonated Water
20,Hypalon®,N/A,Carbonated Water
21,Hytrel®,N/A,Carbonated Water
22,Kalrez,N/A,Carbonated Water
23,Kel-F®,N/A,Carbonated Water
24,LDPE,A - Excellent,Carbonated Water
25,Natural rubber,N/A,Carbonated Water
26,Neoprene,A - Excellent,Carbonated Water
27,NORYL®,A - Excellent,Carbonated Water
28,Nylon,A - Excellent,Carbonated Water
29,Polycarbonate,N/A,Carbonated Water
30,Polyetherether Ketone (PEEK),N/A,Carbonated Water
31,Polypropylene,B - Good,Carbonated Water
32,Polyurethane,B - Good,Carbonated Water
33,PPS (Ryton®),N/A,Carbonated Water
34,PTFE,N/A,Carbonated Water
35,PVC,A - Excellent,Carbonated Water
36,PVDF (Kynar®),N/A,Carbonated Water
37,Silicone,N/A,Carbonated Water
38,stainless steel - 304,A - Excellent,Carbonated Water
39,stainless steel - 316,A - Excellent,Carbonated Water
40,Titanium,N/A,Carbonated Water
41,Tygon®,N/A,Carbonated Water
42,Viton®,A - Excellent,Carbonated Water
