,material,compatibility,chemical
0,,,Carbonic Acid
1,ABS plastic,N/A,Carbonic Acid
2,Acetal (Delrin®),B1 - Good,Carbonic Acid
3,Aluminum,B1 - Good,Carbonic Acid
4,Brass,D - Poor,Carbonic Acid
5,Bronze,B - Good,Carbonic Acid
6,Buna N (Nitrile),D - Poor,Carbonic Acid
7,Carbon graphite,A - Excellent,Carbonic Acid
8,Carbon Steel,D - Poor,Carbonic Acid
9,Carpenter 20,A - Excellent,Carbonic Acid
10,Cast iron,D - Poor,Carbonic Acid
11,Ceramic Al203,A - Excellent,Carbonic Acid
12,Ceramic magnet,N/A,Carbonic Acid
13,ChemRaz (FFKM),N/A,Carbonic Acid
14,Copper,N/A,Carbonic Acid
15,CPVC,A - Excellent,Carbonic Acid
16,EPDM,B - Good,Carbonic Acid
17,Epoxy,A2 - Excellent,Carbonic Acid
18,Fluorocarbon (FKM),A - Excellent,Carbonic Acid
19,Hastelloy-C®,A2 - Excellent,Carbonic Acid
20,Hypalon®,C - Fair,Carbonic Acid
21,Hytrel®,D - Poor,Carbonic Acid
22,Kalrez,A - Excellent,Carbonic Acid
23,Kel-F®,A - Excellent,Carbonic Acid
24,LDPE,B2 - Good,Carbonic Acid
25,Natural rubber,C - Fair,Carbonic Acid
26,Neoprene,D - Poor,Carbonic Acid
27,NORYL®,A1 - Excellent,Carbonic Acid
28,Nylon,A1 - Excellent,Carbonic Acid
29,Polycarbonate,A1 - Excellent,Carbonic Acid
30,Polyetherether Ketone (PEEK),A - Excellent,Carbonic Acid
31,Polypropylene,A - Excellent,Carbonic Acid
32,Polyurethane,A - Excellent,Carbonic Acid
33,PPS (Ryton®),A - Excellent,Carbonic Acid
34,PTFE,A - Excellent,Carbonic Acid
35,PVC,A2 - Excellent,Carbonic Acid
36,PVDF (Kynar®),A - Excellent,Carbonic Acid
37,Silicone,A - Excellent,Carbonic Acid
38,stainless steel - 304,A1 - Excellent,Carbonic Acid
39,stainless steel - 316,A - Excellent,Carbonic Acid
40,Titanium,B1 - Good,Carbonic Acid
41,Tygon®,N/A,Carbonic Acid
42,Viton®,A - Excellent,Carbonic Acid
