,material,compatibility,chemical
0,,,Chloric Acid
1,ABS plastic,N/A,Chloric Acid
2,Acetal (Delrin®),D - Poor,Chloric Acid
3,Aluminum,D - Poor,Chloric Acid
4,Brass,D - Poor,Chloric Acid
5,Bronze,D - Poor,Chloric Acid
6,Buna N (Nitrile),N/A,Chloric Acid
7,Carbon graphite,D - Poor,Chloric Acid
8,Carbon Steel,D - Poor,Chloric Acid
9,Carpenter 20,A1 - Excellent,Chloric Acid
10,Cast iron,D - Poor,Chloric Acid
11,Ceramic Al203,N/A,Chloric Acid
12,Ceramic magnet,N/A,Chloric Acid
13,ChemRaz (FFKM),N/A,Chloric Acid
14,Copper,D - Poor,Chloric Acid
15,CPVC,A - Excellent,Chloric Acid
16,EPDM,N/A,Chloric Acid
17,Epoxy,N/A,Chloric Acid
18,Fluorocarbon (FKM),N/A,Chloric Acid
19,Hastelloy-C®,A2 - Excellent,Chloric Acid
20,Hypalon®,N/A,Chloric Acid
21,Hytrel®,N/A,Chloric Acid
22,Kalrez,N/A,Chloric Acid
23,Kel-F®,A - Excellent,Chloric Acid
24,LDPE,N/A,Chloric Acid
25,Natural rubber,N/A,Chloric Acid
26,Neoprene,N/A,Chloric Acid
27,NORYL®,D - Poor,Chloric Acid
28,Nylon,D - Poor,Chloric Acid
29,Polycarbonate,N/A,Chloric Acid
30,Polyetherether Ketone (PEEK),N/A,Chloric Acid
31,Polypropylene,N/A,Chloric Acid
32,Polyurethane,N/A,Chloric Acid
33,PPS (Ryton®),N/A,Chloric Acid
34,PTFE,A - Excellent,Chloric Acid
35,PVC,A2 - Excellent,Chloric Acid
36,PVDF (Kynar®),N/A,Chloric Acid
37,Silicone,N/A,Chloric Acid
38,stainless steel - 304,D - Poor,Chloric Acid
39,stainless steel - 316,C1 - Fair,Chloric Acid
40,Titanium,N/A,Chloric Acid
41,Tygon®,N/A,Chloric Acid
42,Viton®,N/A,Chloric Acid
