,material,compatibility,chemical
0,,,Chlorine (dry)
1,ABS plastic,N/A,Chlorine (dry)
2,Acetal (Delrin®),D - Poor,Chlorine (dry)
3,Aluminum,C1 - Fair,Chlorine (dry)
4,Brass,D - Poor,Chlorine (dry)
5,Bronze,B - Good,Chlorine (dry)
6,Buna N (Nitrile),B - Good,Chlorine (dry)
7,Carbon graphite,A - Excellent,Chlorine (dry)
8,Carbon Steel,B - Good,Chlorine (dry)
9,Carpenter 20,A - Excellent,Chlorine (dry)
10,Cast iron,D - Poor,Chlorine (dry)
11,Ceramic Al203,N/A,Chlorine (dry)
12,Ceramic magnet,N/A,Chlorine (dry)
13,ChemRaz (FFKM),B - Good,Chlorine (dry)
14,Copper,A - Excellent,Chlorine (dry)
15,CPVC,D - Poor,Chlorine (dry)
16,EPDM,A - Excellent,Chlorine (dry)
17,Epoxy,D - Poor,Chlorine (dry)
18,Fluorocarbon (FKM),A - Excellent,Chlorine (dry)
19,Hastelloy-C®,A2 - Excellent,Chlorine (dry)
20,Hypalon®,D - Poor,Chlorine (dry)
21,Hytrel®,D - Poor,Chlorine (dry)
22,Kalrez,A - Excellent,Chlorine (dry)
23,Kel-F®,D - Poor,Chlorine (dry)
24,LDPE,D - Poor,Chlorine (dry)
25,Natural rubber,D - Poor,Chlorine (dry)
26,Neoprene,C - Fair,Chlorine (dry)
27,NORYL®,B1 - Good,Chlorine (dry)
28,Nylon,D - Poor,Chlorine (dry)
29,Polycarbonate,N/A,Chlorine (dry)
30,Polyetherether Ketone (PEEK),A - Excellent,Chlorine (dry)
31,Polypropylene,D - Poor,Chlorine (dry)
32,Polyurethane,D - Poor,Chlorine (dry)
33,PPS (Ryton®),D - Poor,Chlorine (dry)
34,PTFE,A - Excellent,Chlorine (dry)
35,PVC,D - Poor,Chlorine (dry)
36,PVDF (Kynar®),A - Excellent,Chlorine (dry)
37,Silicone,D - Poor,Chlorine (dry)
38,stainless steel - 304,A1 - Excellent,Chlorine (dry)
39,stainless steel - 316,B - Good,Chlorine (dry)
40,Titanium,D - Poor,Chlorine (dry)
41,Tygon®,A - Excellent,Chlorine (dry)
42,Viton®,A - Excellent,Chlorine (dry)
