,material,compatibility,chemical
0,,,Chlorine Water
1,ABS plastic,N/A,Chlorine Water
2,Acetal (Delrin®),D - Poor,Chlorine Water
3,Aluminum,D - Poor,Chlorine Water
4,Brass,D - Poor,Chlorine Water
5,Bronze,B - Good,Chlorine Water
6,Buna N (Nitrile),D - Poor,Chlorine Water
7,Carbon graphite,A - Excellent,Chlorine Water
8,Carbon Steel,D - Poor,Chlorine Water
9,Carpenter 20,A2 - Excellent,Chlorine Water
10,Cast iron,N/A,Chlorine Water
11,Ceramic Al203,A - Excellent,Chlorine Water
12,Ceramic magnet,A - Excellent,Chlorine Water
13,ChemRaz (FFKM),A - Excellent,Chlorine Water
14,Copper,D - Poor,Chlorine Water
15,CPVC,A2 - Excellent,Chlorine Water
16,EPDM,C - Fair,Chlorine Water
17,Epoxy,A1 - Excellent,Chlorine Water
18,Fluorocarbon (FKM),D - Poor,Chlorine Water
19,Hastelloy-C®,A2 - Excellent,Chlorine Water
20,Hypalon®,C - Fair,Chlorine Water
21,Hytrel®,N/A,Chlorine Water
22,Kalrez,N/A,Chlorine Water
23,Kel-F®,A - Excellent,Chlorine Water
24,LDPE,B1 - Good,Chlorine Water
25,Natural rubber,C - Fair,Chlorine Water
26,Neoprene,D - Poor,Chlorine Water
27,NORYL®,C1 - Fair,Chlorine Water
28,Nylon,C1 - Fair,Chlorine Water
29,Polycarbonate,N/A,Chlorine Water
30,Polyetherether Ketone (PEEK),D - Poor,Chlorine Water
31,Polypropylene,D - Poor,Chlorine Water
32,Polyurethane,N/A,Chlorine Water
33,PPS (Ryton®),D - Poor,Chlorine Water
34,PTFE,A - Excellent,Chlorine Water
35,PVC,A2 - Excellent,Chlorine Water
36,PVDF (Kynar®),B - Good,Chlorine Water
37,Silicone,D - Poor,Chlorine Water
38,stainless steel - 304,C - Fair,Chlorine Water
39,stainless steel - 316,C - Fair,Chlorine Water
40,Titanium,A - Excellent,Chlorine Water
41,Tygon®,N/A,Chlorine Water
42,Viton®,A - Excellent,Chlorine Water
