,material,compatibility,chemical
0,,,Chlorobenzene (Mono)
1,ABS plastic,D - Poor,Chlorobenzene (Mono)
2,Acetal (Delrin®),D - Poor,Chlorobenzene (Mono)
3,Aluminum,A - Excellent,Chlorobenzene (Mono)
4,Brass,B1 - Good,Chlorobenzene (Mono)
5,Bronze,C - Fair,Chlorobenzene (Mono)
6,Buna N (Nitrile),D - Poor,Chlorobenzene (Mono)
7,Carbon graphite,A - Excellent,Chlorobenzene (Mono)
8,Carbon Steel,B - Good,Chlorobenzene (Mono)
9,Carpenter 20,A - Excellent,Chlorobenzene (Mono)
10,Cast iron,B - Good,Chlorobenzene (Mono)
11,Ceramic Al203,A - Excellent,Chlorobenzene (Mono)
12,Ceramic magnet,A - Excellent,Chlorobenzene (Mono)
13,ChemRaz (FFKM),A - Excellent,Chlorobenzene (Mono)
14,Copper,B - Good,Chlorobenzene (Mono)
15,CPVC,D - Poor,Chlorobenzene (Mono)
16,EPDM,D - Poor,Chlorobenzene (Mono)
17,Epoxy,C1 - Fair,Chlorobenzene (Mono)
18,Fluorocarbon (FKM),A - Excellent,Chlorobenzene (Mono)
19,Hastelloy-C®,A - Excellent,Chlorobenzene (Mono)
20,Hypalon®,D - Poor,Chlorobenzene (Mono)
21,Hytrel®,D - Poor,Chlorobenzene (Mono)
22,Kalrez,A - Excellent,Chlorobenzene (Mono)
23,Kel-F®,A1 - Excellent,Chlorobenzene (Mono)
24,LDPE,C1 - Fair,Chlorobenzene (Mono)
25,Natural rubber,D - Poor,Chlorobenzene (Mono)
26,Neoprene,D - Poor,Chlorobenzene (Mono)
27,NORYL®,D - Poor,Chlorobenzene (Mono)
28,Nylon,D - Poor,Chlorobenzene (Mono)
29,Polycarbonate,D - Poor,Chlorobenzene (Mono)
30,Polyetherether Ketone (PEEK),A - Excellent,Chlorobenzene (Mono)
31,Polypropylene,C1 - Fair,Chlorobenzene (Mono)
32,Polyurethane,D - Poor,Chlorobenzene (Mono)
33,PPS (Ryton®),A - Excellent,Chlorobenzene (Mono)
34,PTFE,B - Good,Chlorobenzene (Mono)
35,PVC,D - Poor,Chlorobenzene (Mono)
36,PVDF (Kynar®),A1 - Excellent,Chlorobenzene (Mono)
37,Silicone,D - Poor,Chlorobenzene (Mono)
38,stainless steel - 304,A - Excellent,Chlorobenzene (Mono)
39,stainless steel - 316,B - Good,Chlorobenzene (Mono)
40,Titanium,B - Good,Chlorobenzene (Mono)
41,Tygon®,A - Excellent,Chlorobenzene (Mono)
42,Viton®,A - Excellent,Chlorobenzene (Mono)
