,material,compatibility,chemical
0,,,Chlorobromomethane
1,ABS plastic,N/A,Chlorobromomethane
2,Acetal (Delrin®),N/A,Chlorobromomethane
3,Aluminum,N/A,Chlorobromomethane
4,Brass,N/A,Chlorobromomethane
5,Bronze,N/A,Chlorobromomethane
6,Buna N (Nitrile),D - Poor,Chlorobromomethane
7,Carbon graphite,N/A,Chlorobromomethane
8,Carbon Steel,N/A,Chlorobromomethane
9,Carpenter 20,N/A,Chlorobromomethane
10,Cast iron,B - Good,Chlorobromomethane
11,Ceramic Al203,A - Excellent,Chlorobromomethane
12,Ceramic magnet,N/A,Chlorobromomethane
13,ChemRaz (FFKM),A - Excellent,Chlorobromomethane
14,Copper,B - Good,Chlorobromomethane
15,CPVC,N/A,Chlorobromomethane
16,EPDM,B - Good,Chlorobromomethane
17,Epoxy,N/A,Chlorobromomethane
18,Fluorocarbon (FKM),A - Excellent,Chlorobromomethane
19,Hastelloy-C®,N/A,Chlorobromomethane
20,Hypalon®,D - Poor,Chlorobromomethane
21,Hytrel®,N/A,Chlorobromomethane
22,Kalrez,A - Excellent,Chlorobromomethane
23,Kel-F®,N/A,Chlorobromomethane
24,LDPE,A - Excellent,Chlorobromomethane
25,Natural rubber,D - Poor,Chlorobromomethane
26,Neoprene,D - Poor,Chlorobromomethane
27,NORYL®,N/A,Chlorobromomethane
28,Nylon,C - Fair,Chlorobromomethane
29,Polycarbonate,N/A,Chlorobromomethane
30,Polyetherether Ketone (PEEK),N/A,Chlorobromomethane
31,Polypropylene,A - Excellent,Chlorobromomethane
32,Polyurethane,D - Poor,Chlorobromomethane
33,PPS (Ryton®),N/A,Chlorobromomethane
34,PTFE,A - Excellent,Chlorobromomethane
35,PVC,D - Poor,Chlorobromomethane
36,PVDF (Kynar®),N/A,Chlorobromomethane
37,Silicone,D - Poor,Chlorobromomethane
38,stainless steel - 304,N/A,Chlorobromomethane
39,stainless steel - 316,N/A,Chlorobromomethane
40,Titanium,N/A,Chlorobromomethane
41,Tygon®,N/A,Chlorobromomethane
42,Viton®,A - Excellent,Chlorobromomethane
