,material,compatibility,chemical
0,,,Chloroform
1,ABS plastic,D - Poor,Chloroform
2,Acetal (Delrin®),A - Excellent,Chloroform
3,Aluminum,B1 - Good,Chloroform
4,Brass,B1 - Good,Chloroform
5,Bronze,B - Good,Chloroform
6,Buna N (Nitrile),D - Poor,Chloroform
7,Carbon graphite,A - Excellent,Chloroform
8,Carbon Steel,B - Good,Chloroform
9,Carpenter 20,A - Excellent,Chloroform
10,Cast iron,B - Good,Chloroform
11,Ceramic Al203,A - Excellent,Chloroform
12,Ceramic magnet,A - Excellent,Chloroform
13,ChemRaz (FFKM),A - Excellent,Chloroform
14,Copper,A - Excellent,Chloroform
15,CPVC,D - Poor,Chloroform
16,EPDM,D - Poor,Chloroform
17,Epoxy,C1 - Fair,Chloroform
18,Fluorocarbon (FKM),B - Good,Chloroform
19,Hastelloy-C®,A1 - Excellent,Chloroform
20,Hypalon®,D - Poor,Chloroform
21,Hytrel®,D - Poor,Chloroform
22,Kalrez,A - Excellent,Chloroform
23,Kel-F®,B1 - Good,Chloroform
24,LDPE,C1 - Fair,Chloroform
25,Natural rubber,D - Poor,Chloroform
26,Neoprene,D - Poor,Chloroform
27,NORYL®,D - Poor,Chloroform
28,Nylon,A - Excellent,Chloroform
29,Polycarbonate,D - Poor,Chloroform
30,Polyetherether Ketone (PEEK),A - Excellent,Chloroform
31,Polypropylene,C1 - Fair,Chloroform
32,Polyurethane,D - Poor,Chloroform
33,PPS (Ryton®),A - Excellent,Chloroform
34,PTFE,A1 - Excellent,Chloroform
35,PVC,D - Poor,Chloroform
36,PVDF (Kynar®),A - Excellent,Chloroform
37,Silicone,D - Poor,Chloroform
38,stainless steel - 304,A - Excellent,Chloroform
39,stainless steel - 316,A - Excellent,Chloroform
40,Titanium,A2 - Excellent,Chloroform
41,Tygon®,B - Good,Chloroform
42,Viton®,A - Excellent,Chloroform
