,material,compatibility,chemical
0,,,Chlorosulfonic Acid
1,ABS plastic,N/A,Chlorosulfonic Acid
2,Acetal (Delrin®),D - Poor,Chlorosulfonic Acid
3,Aluminum,C - Fair,Chlorosulfonic Acid
4,Brass,B - Good,Chlorosulfonic Acid
5,Bronze,D - Poor,Chlorosulfonic Acid
6,Buna N (Nitrile),D - Poor,Chlorosulfonic Acid
7,Carbon graphite,A - Excellent,Chlorosulfonic Acid
8,Carbon Steel,D - Poor,Chlorosulfonic Acid
9,Carpenter 20,D - Poor,Chlorosulfonic Acid
10,Cast iron,D - Poor,Chlorosulfonic Acid
11,Ceramic Al203,A - Excellent,Chlorosulfonic Acid
12,Ceramic magnet,N/A,Chlorosulfonic Acid
13,ChemRaz (FFKM),A - Excellent,Chlorosulfonic Acid
14,Copper,D - Poor,Chlorosulfonic Acid
15,CPVC,D - Poor,Chlorosulfonic Acid
16,EPDM,D - Poor,Chlorosulfonic Acid
17,Epoxy,C1 - Fair,Chlorosulfonic Acid
18,Fluorocarbon (FKM),D - Poor,Chlorosulfonic Acid
19,Hastelloy-C®,A1 - Excellent,Chlorosulfonic Acid
20,Hypalon®,D - Poor,Chlorosulfonic Acid
21,Hytrel®,D - Poor,Chlorosulfonic Acid
22,Kalrez,A - Excellent,Chlorosulfonic Acid
23,Kel-F®,A2 - Excellent,Chlorosulfonic Acid
24,LDPE,D - Poor,Chlorosulfonic Acid
25,Natural rubber,D - Poor,Chlorosulfonic Acid
26,Neoprene,D - Poor,Chlorosulfonic Acid
27,NORYL®,D - Poor,Chlorosulfonic Acid
28,Nylon,D - Poor,Chlorosulfonic Acid
29,Polycarbonate,C1 - Fair,Chlorosulfonic Acid
30,Polyetherether Ketone (PEEK),A - Excellent,Chlorosulfonic Acid
31,Polypropylene,D - Poor,Chlorosulfonic Acid
32,Polyurethane,D - Poor,Chlorosulfonic Acid
33,PPS (Ryton®),D - Poor,Chlorosulfonic Acid
34,PTFE,A - Excellent,Chlorosulfonic Acid
35,PVC,D - Poor,Chlorosulfonic Acid
36,PVDF (Kynar®),D - Poor,Chlorosulfonic Acid
37,Silicone,D - Poor,Chlorosulfonic Acid
38,stainless steel - 304,D - Poor,Chlorosulfonic Acid
39,stainless steel - 316,B2 - Good,Chlorosulfonic Acid
40,Titanium,A - Excellent,Chlorosulfonic Acid
41,Tygon®,C - Fair,Chlorosulfonic Acid
42,Viton®,D - Poor,Chlorosulfonic Acid
