,material,compatibility,chemical
0,,,Chocolate Syrup
1,ABS plastic,N/A,Chocolate Syrup
2,Acetal (Delrin®),A - Excellent,Chocolate Syrup
3,Aluminum,A - Excellent,Chocolate Syrup
4,Brass,N/A,Chocolate Syrup
5,Bronze,N/A,Chocolate Syrup
6,Buna N (Nitrile),A - Excellent,Chocolate Syrup
7,Carbon graphite,N/A,Chocolate Syrup
8,Carbon Steel,N/A,Chocolate Syrup
9,Carpenter 20,D - Poor,Chocolate Syrup
10,Cast iron,D - Poor,Chocolate Syrup
11,Ceramic Al203,N/A,Chocolate Syrup
12,Ceramic magnet,N/A,Chocolate Syrup
13,ChemRaz (FFKM),N/A,Chocolate Syrup
14,Copper,N/A,Chocolate Syrup
15,CPVC,N/A,Chocolate Syrup
16,EPDM,A - Excellent,Chocolate Syrup
17,Epoxy,A - Excellent,Chocolate Syrup
18,Fluorocarbon (FKM),A - Excellent,Chocolate Syrup
19,Hastelloy-C®,N/A,Chocolate Syrup
20,Hypalon®,N/A,Chocolate Syrup
21,Hytrel®,N/A,Chocolate Syrup
22,Kalrez,N/A,Chocolate Syrup
23,Kel-F®,N/A,Chocolate Syrup
24,LDPE,N/A,Chocolate Syrup
25,Natural rubber,D - Poor,Chocolate Syrup
26,Neoprene,A - Excellent,Chocolate Syrup
27,NORYL®,A - Excellent,Chocolate Syrup
28,Nylon,A - Excellent,Chocolate Syrup
29,Polycarbonate,A - Excellent,Chocolate Syrup
30,Polyetherether Ketone (PEEK),N/A,Chocolate Syrup
31,Polypropylene,A2 - Excellent,Chocolate Syrup
32,Polyurethane,N/A,Chocolate Syrup
33,PPS (Ryton®),N/A,Chocolate Syrup
34,PTFE,A - Excellent,Chocolate Syrup
35,PVC,N/A,Chocolate Syrup
36,PVDF (Kynar®),N/A,Chocolate Syrup
37,Silicone,N/A,Chocolate Syrup
38,stainless steel - 304,A - Excellent,Chocolate Syrup
39,stainless steel - 316,A - Excellent,Chocolate Syrup
40,Titanium,N/A,Chocolate Syrup
41,Tygon®,N/A,Chocolate Syrup
42,Viton®,A - Excellent,Chocolate Syrup
