,material,compatibility,chemical
0,,,Chromic Acid 5%
1,ABS plastic,B - Good,Chromic Acid 5%
2,Acetal (Delrin®),D - Poor,Chromic Acid 5%
3,Aluminum,C - Fair,Chromic Acid 5%
4,Brass,D - Poor,Chromic Acid 5%
5,Bronze,B1 - Good,Chromic Acid 5%
6,Buna N (Nitrile),D - Poor,Chromic Acid 5%
7,Carbon graphite,A - Excellent,Chromic Acid 5%
8,Carbon Steel,D - Poor,Chromic Acid 5%
9,Carpenter 20,D - Poor,Chromic Acid 5%
10,Cast iron,D - Poor,Chromic Acid 5%
11,Ceramic Al203,A - Excellent,Chromic Acid 5%
12,Ceramic magnet,A - Excellent,Chromic Acid 5%
13,ChemRaz (FFKM),A - Excellent,Chromic Acid 5%
14,Copper,D - Poor,Chromic Acid 5%
15,CPVC,A - Excellent,Chromic Acid 5%
16,EPDM,A - Excellent,Chromic Acid 5%
17,Epoxy,D - Poor,Chromic Acid 5%
18,Fluorocarbon (FKM),A - Excellent,Chromic Acid 5%
19,Hastelloy-C®,B - Good,Chromic Acid 5%
20,Hypalon®,B - Good,Chromic Acid 5%
21,Hytrel®,D - Poor,Chromic Acid 5%
22,Kalrez,A - Excellent,Chromic Acid 5%
23,Kel-F®,A - Excellent,Chromic Acid 5%
24,LDPE,D - Poor,Chromic Acid 5%
25,Natural rubber,B - Good,Chromic Acid 5%
26,Neoprene,D - Poor,Chromic Acid 5%
27,NORYL®,A1 - Excellent,Chromic Acid 5%
28,Nylon,D - Poor,Chromic Acid 5%
29,Polycarbonate,B - Good,Chromic Acid 5%
30,Polyetherether Ketone (PEEK),A - Excellent,Chromic Acid 5%
31,Polypropylene,D - Poor,Chromic Acid 5%
32,Polyurethane,D - Poor,Chromic Acid 5%
33,PPS (Ryton®),A - Excellent,Chromic Acid 5%
34,PTFE,A - Excellent,Chromic Acid 5%
35,PVC,A2 - Excellent,Chromic Acid 5%
36,PVDF (Kynar®),A - Excellent,Chromic Acid 5%
37,Silicone,C - Fair,Chromic Acid 5%
38,stainless steel - 304,B - Good,Chromic Acid 5%
39,stainless steel - 316,A - Excellent,Chromic Acid 5%
40,Titanium,A - Excellent,Chromic Acid 5%
41,Tygon®,B - Good,Chromic Acid 5%
42,Viton®,A - Excellent,Chromic Acid 5%
