,material,compatibility,chemical
0,,,Chromic Acid 50%
1,ABS plastic,D - Poor,Chromic Acid 50%
2,Acetal (Delrin®),D - Poor,Chromic Acid 50%
3,Aluminum,D - Poor,Chromic Acid 50%
4,Brass,D - Poor,Chromic Acid 50%
5,Bronze,D - Poor,Chromic Acid 50%
6,Buna N (Nitrile),D - Poor,Chromic Acid 50%
7,Carbon graphite,A1 - Excellent,Chromic Acid 50%
8,Carbon Steel,D - Poor,Chromic Acid 50%
9,Carpenter 20,D - Poor,Chromic Acid 50%
10,Cast iron,D - Poor,Chromic Acid 50%
11,Ceramic Al203,A - Excellent,Chromic Acid 50%
12,Ceramic magnet,A - Excellent,Chromic Acid 50%
13,ChemRaz (FFKM),A - Excellent,Chromic Acid 50%
14,Copper,D - Poor,Chromic Acid 50%
15,CPVC,D - Poor,Chromic Acid 50%
16,EPDM,B - Good,Chromic Acid 50%
17,Epoxy,D - Poor,Chromic Acid 50%
18,Fluorocarbon (FKM),A - Excellent,Chromic Acid 50%
19,Hastelloy-C®,B - Good,Chromic Acid 50%
20,Hypalon®,C - Fair,Chromic Acid 50%
21,Hytrel®,D - Poor,Chromic Acid 50%
22,Kalrez,A - Excellent,Chromic Acid 50%
23,Kel-F®,A2 - Excellent,Chromic Acid 50%
24,LDPE,D - Poor,Chromic Acid 50%
25,Natural rubber,D - Poor,Chromic Acid 50%
26,Neoprene,D - Poor,Chromic Acid 50%
27,NORYL®,D - Poor,Chromic Acid 50%
28,Nylon,D - Poor,Chromic Acid 50%
29,Polycarbonate,D - Poor,Chromic Acid 50%
30,Polyetherether Ketone (PEEK),D - Poor,Chromic Acid 50%
31,Polypropylene,D - Poor,Chromic Acid 50%
32,Polyurethane,D - Poor,Chromic Acid 50%
33,PPS (Ryton®),A1 - Excellent,Chromic Acid 50%
34,PTFE,A - Excellent,Chromic Acid 50%
35,PVC,D - Poor,Chromic Acid 50%
36,PVDF (Kynar®),A2 - Excellent,Chromic Acid 50%
37,Silicone,C - Fair,Chromic Acid 50%
38,stainless steel - 304,C - Fair,Chromic Acid 50%
39,stainless steel - 316,B2 - Good,Chromic Acid 50%
40,Titanium,A2 - Excellent,Chromic Acid 50%
41,Tygon®,B - Good,Chromic Acid 50%
42,Viton®,A - Excellent,Chromic Acid 50%
