,material,compatibility,chemical
0,,,Chromium Salts
1,ABS plastic,N/A,Chromium Salts
2,Acetal (Delrin®),N/A,Chromium Salts
3,Aluminum,N/A,Chromium Salts
4,Brass,N/A,Chromium Salts
5,Bronze,N/A,Chromium Salts
6,Buna N (Nitrile),N/A,Chromium Salts
7,Carbon graphite,N/A,Chromium Salts
8,Carbon Steel,N/A,Chromium Salts
9,Carpenter 20,N/A,Chromium Salts
10,Cast iron,N/A,Chromium Salts
11,Ceramic Al203,N/A,Chromium Salts
12,Ceramic magnet,N/A,Chromium Salts
13,ChemRaz (FFKM),A - Excellent,Chromium Salts
14,Copper,N/A,Chromium Salts
15,CPVC,N/A,Chromium Salts
16,EPDM,N/A,Chromium Salts
17,Epoxy,N/A,Chromium Salts
18,Fluorocarbon (FKM),N/A,Chromium Salts
19,Hastelloy-C®,N/A,Chromium Salts
20,Hypalon®,N/A,Chromium Salts
21,Hytrel®,B1 - Good,Chromium Salts
22,Kalrez,A - Excellent,Chromium Salts
23,Kel-F®,N/A,Chromium Salts
24,LDPE,B - Good,Chromium Salts
25,Natural rubber,N/A,Chromium Salts
26,Neoprene,N/A,Chromium Salts
27,NORYL®,N/A,Chromium Salts
28,Nylon,B - Good,Chromium Salts
29,Polycarbonate,N/A,Chromium Salts
30,Polyetherether Ketone (PEEK),N/A,Chromium Salts
31,Polypropylene,N/A,Chromium Salts
32,Polyurethane,B - Good,Chromium Salts
33,PPS (Ryton®),N/A,Chromium Salts
34,PTFE,N/A,Chromium Salts
35,PVC,A - Excellent,Chromium Salts
36,PVDF (Kynar®),N/A,Chromium Salts
37,Silicone,N/A,Chromium Salts
38,stainless steel - 304,N/A,Chromium Salts
39,stainless steel - 316,N/A,Chromium Salts
40,Titanium,N/A,Chromium Salts
41,Tygon®,A - Excellent,Chromium Salts
42,Viton®,N/A,Chromium Salts
