,material,compatibility,chemical
0,,,Cider
1,ABS plastic,N/A,Cider
2,Acetal (Delrin®),A - Excellent,Cider
3,Aluminum,B - Good,Cider
4,Brass,N/A,Cider
5,Bronze,A - Excellent,Cider
6,Buna N (Nitrile),A - Excellent,Cider
7,Carbon graphite,N/A,Cider
8,Carbon Steel,N/A,Cider
9,Carpenter 20,A - Excellent,Cider
10,Cast iron,D - Poor,Cider
11,Ceramic Al203,A - Excellent,Cider
12,Ceramic magnet,A - Excellent,Cider
13,ChemRaz (FFKM),N/A,Cider
14,Copper,N/A,Cider
15,CPVC,N/A,Cider
16,EPDM,A - Excellent,Cider
17,Epoxy,A - Excellent,Cider
18,Fluorocarbon (FKM),A - Excellent,Cider
19,Hastelloy-C®,N/A,Cider
20,Hypalon®,N/A,Cider
21,Hytrel®,B1 - Good,Cider
22,Kalrez,N/A,Cider
23,Kel-F®,N/A,Cider
24,LDPE,B - Good,Cider
25,Natural rubber,N/A,Cider
26,Neoprene,A - Excellent,Cider
27,NORYL®,A - Excellent,Cider
28,Nylon,A - Excellent,Cider
29,Polycarbonate,A - Excellent,Cider
30,Polyetherether Ketone (PEEK),N/A,Cider
31,Polypropylene,A - Excellent,Cider
32,Polyurethane,D - Poor,Cider
33,PPS (Ryton®),N/A,Cider
34,PTFE,N/A,Cider
35,PVC,A - Excellent,Cider
36,PVDF (Kynar®),N/A,Cider
37,Silicone,B1 - Good,Cider
38,stainless steel - 304,A - Excellent,Cider
39,stainless steel - 316,A - Excellent,Cider
40,Titanium,N/A,Cider
41,Tygon®,N/A,Cider
42,Viton®,A - Excellent,Cider
