,material,compatibility,chemical
0,,,Citric Acid
1,ABS plastic,D - Poor,Citric Acid
2,Acetal (Delrin®),B1 - Good,Citric Acid
3,Aluminum,C - Fair,Citric Acid
4,Brass,D - Poor,Citric Acid
5,Bronze,D - Poor,Citric Acid
6,Buna N (Nitrile),A - Excellent,Citric Acid
7,Carbon graphite,A - Excellent,Citric Acid
8,Carbon Steel,D - Poor,Citric Acid
9,Carpenter 20,B - Good,Citric Acid
10,Cast iron,D - Poor,Citric Acid
11,Ceramic Al203,A - Excellent,Citric Acid
12,Ceramic magnet,A - Excellent,Citric Acid
13,ChemRaz (FFKM),A - Excellent,Citric Acid
14,Copper,D - Poor,Citric Acid
15,CPVC,B2 - Good,Citric Acid
16,EPDM,A - Excellent,Citric Acid
17,Epoxy,A1 - Excellent,Citric Acid
18,Fluorocarbon (FKM),A - Excellent,Citric Acid
19,Hastelloy-C®,A - Excellent,Citric Acid
20,Hypalon®,C - Fair,Citric Acid
21,Hytrel®,A1 - Excellent,Citric Acid
22,Kalrez,A - Excellent,Citric Acid
23,Kel-F®,A2 - Excellent,Citric Acid
24,LDPE,D - Poor,Citric Acid
25,Natural rubber,A - Excellent,Citric Acid
26,Neoprene,A - Excellent,Citric Acid
27,NORYL®,A1 - Excellent,Citric Acid
28,Nylon,A1 - Excellent,Citric Acid
29,Polycarbonate,A1 - Excellent,Citric Acid
30,Polyetherether Ketone (PEEK),A - Excellent,Citric Acid
31,Polypropylene,A - Excellent,Citric Acid
32,Polyurethane,A - Excellent,Citric Acid
33,PPS (Ryton®),A - Excellent,Citric Acid
34,PTFE,A - Excellent,Citric Acid
35,PVC,B2 - Good,Citric Acid
36,PVDF (Kynar®),A - Excellent,Citric Acid
37,Silicone,A - Excellent,Citric Acid
38,stainless steel - 304,B1 - Good,Citric Acid
39,stainless steel - 316,A2 - Excellent,Citric Acid
40,Titanium,A2 - Excellent,Citric Acid
41,Tygon®,N/A,Citric Acid
42,Viton®,A - Excellent,Citric Acid
