,material,compatibility,chemical
0,,,Citric Oils
1,ABS plastic,N/A,Citric Oils
2,Acetal (Delrin®),B - Good,Citric Oils
3,Aluminum,C - Fair,Citric Oils
4,Brass,N/A,Citric Oils
5,Bronze,A - Excellent,Citric Oils
6,Buna N (Nitrile),A - Excellent,Citric Oils
7,Carbon graphite,N/A,Citric Oils
8,Carbon Steel,N/A,Citric Oils
9,Carpenter 20,D - Poor,Citric Oils
10,Cast iron,D - Poor,Citric Oils
11,Ceramic Al203,N/A,Citric Oils
12,Ceramic magnet,N/A,Citric Oils
13,ChemRaz (FFKM),N/A,Citric Oils
14,Copper,N/A,Citric Oils
15,CPVC,N/A,Citric Oils
16,EPDM,B - Good,Citric Oils
17,Epoxy,A - Excellent,Citric Oils
18,Fluorocarbon (FKM),A - Excellent,Citric Oils
19,Hastelloy-C®,N/A,Citric Oils
20,Hypalon®,N/A,Citric Oils
21,Hytrel®,N/A,Citric Oils
22,Kalrez,N/A,Citric Oils
23,Kel-F®,N/A,Citric Oils
24,LDPE,N/A,Citric Oils
25,Natural rubber,N/A,Citric Oils
26,Neoprene,D - Poor,Citric Oils
27,NORYL®,A - Excellent,Citric Oils
28,Nylon,N/A,Citric Oils
29,Polycarbonate,N/A,Citric Oils
30,Polyetherether Ketone (PEEK),A - Excellent,Citric Oils
31,Polypropylene,A - Excellent,Citric Oils
32,Polyurethane,N/A,Citric Oils
33,PPS (Ryton®),N/A,Citric Oils
34,PTFE,N/A,Citric Oils
35,PVC,N/A,Citric Oils
36,PVDF (Kynar®),N/A,Citric Oils
37,Silicone,N/A,Citric Oils
38,stainless steel - 304,A - Excellent,Citric Oils
39,stainless steel - 316,A - Excellent,Citric Oils
40,Titanium,N/A,Citric Oils
41,Tygon®,N/A,Citric Oils
42,Viton®,A - Excellent,Citric Oils
