,material,compatibility,chemical
0,,,Cloroxr (Bleach)
1,ABS plastic,B - Good,Cloroxr (Bleach)
2,Acetal (Delrin®),D - Poor,Cloroxr (Bleach)
3,Aluminum,A - Excellent,Cloroxr (Bleach)
4,Brass,N/A,Cloroxr (Bleach)
5,Bronze,N/A,Cloroxr (Bleach)
6,Buna N (Nitrile),D - Poor,Cloroxr (Bleach)
7,Carbon graphite,N/A,Cloroxr (Bleach)
8,Carbon Steel,D - Poor,Cloroxr (Bleach)
9,Carpenter 20,D - Poor,Cloroxr (Bleach)
10,Cast iron,D - Poor,Cloroxr (Bleach)
11,Ceramic Al203,N/A,Cloroxr (Bleach)
12,Ceramic magnet,N/A,Cloroxr (Bleach)
13,ChemRaz (FFKM),A - Excellent,Cloroxr (Bleach)
14,Copper,N/A,Cloroxr (Bleach)
15,CPVC,A - Excellent,Cloroxr (Bleach)
16,EPDM,B - Good,Cloroxr (Bleach)
17,Epoxy,D - Poor,Cloroxr (Bleach)
18,Fluorocarbon (FKM),A - Excellent,Cloroxr (Bleach)
19,Hastelloy-C®,A - Excellent,Cloroxr (Bleach)
20,Hypalon®,B - Good,Cloroxr (Bleach)
21,Hytrel®,N/A,Cloroxr (Bleach)
22,Kalrez,A - Excellent,Cloroxr (Bleach)
23,Kel-F®,D - Poor,Cloroxr (Bleach)
24,LDPE,N/A,Cloroxr (Bleach)
25,Natural rubber,D - Poor,Cloroxr (Bleach)
26,Neoprene,B - Good,Cloroxr (Bleach)
27,NORYL®,A - Excellent,Cloroxr (Bleach)
28,Nylon,A - Excellent,Cloroxr (Bleach)
29,Polycarbonate,N/A,Cloroxr (Bleach)
30,Polyetherether Ketone (PEEK),B - Good,Cloroxr (Bleach)
31,Polypropylene,D - Poor,Cloroxr (Bleach)
32,Polyurethane,D - Poor,Cloroxr (Bleach)
33,PPS (Ryton®),D - Poor,Cloroxr (Bleach)
34,PTFE,A - Excellent,Cloroxr (Bleach)
35,PVC,A - Excellent,Cloroxr (Bleach)
36,PVDF (Kynar®),A - Excellent,Cloroxr (Bleach)
37,Silicone,N/A,Cloroxr (Bleach)
38,stainless steel - 304,A - Excellent,Cloroxr (Bleach)
39,stainless steel - 316,A - Excellent,Cloroxr (Bleach)
40,Titanium,N/A,Cloroxr (Bleach)
41,Tygon®,B - Good,Cloroxr (Bleach)
42,Viton®,A - Excellent,Cloroxr (Bleach)
