,material,compatibility,chemical
0,,,Coffee
1,ABS plastic,N/A,Coffee
2,Acetal (Delrin®),A - Excellent,Coffee
3,Aluminum,A - Excellent,Coffee
4,Brass,N/A,Coffee
5,Bronze,A - Excellent,Coffee
6,Buna N (Nitrile),A - Excellent,Coffee
7,Carbon graphite,N/A,Coffee
8,Carbon Steel,N/A,Coffee
9,Carpenter 20,D - Poor,Coffee
10,Cast iron,N/A,Coffee
11,Ceramic Al203,N/A,Coffee
12,Ceramic magnet,N/A,Coffee
13,ChemRaz (FFKM),N/A,Coffee
14,Copper,N/A,Coffee
15,CPVC,A - Excellent,Coffee
16,EPDM,A - Excellent,Coffee
17,Epoxy,A - Excellent,Coffee
18,Fluorocarbon (FKM),A - Excellent,Coffee
19,Hastelloy-C®,A - Excellent,Coffee
20,Hypalon®,A - Excellent,Coffee
21,Hytrel®,N/A,Coffee
22,Kalrez,N/A,Coffee
23,Kel-F®,N/A,Coffee
24,LDPE,N/A,Coffee
25,Natural rubber,A - Excellent,Coffee
26,Neoprene,A - Excellent,Coffee
27,NORYL®,A - Excellent,Coffee
28,Nylon,A - Excellent,Coffee
29,Polycarbonate,N/A,Coffee
30,Polyetherether Ketone (PEEK),N/A,Coffee
31,Polypropylene,A - Excellent,Coffee
32,Polyurethane,D - Poor,Coffee
33,PPS (Ryton®),N/A,Coffee
34,PTFE,N/A,Coffee
35,PVC,N/A,Coffee
36,PVDF (Kynar®),N/A,Coffee
37,Silicone,A - Excellent,Coffee
38,stainless steel - 304,A - Excellent,Coffee
39,stainless steel - 316,A - Excellent,Coffee
40,Titanium,A - Excellent,Coffee
41,Tygon®,N/A,Coffee
42,Viton®,A - Excellent,Coffee
