,material,compatibility,chemical
0,,,Copper Fluoborate
1,ABS plastic,N/A,Copper Fluoborate
2,Acetal (Delrin®),B - Good,Copper Fluoborate
3,Aluminum,N/A,Copper Fluoborate
4,Brass,N/A,Copper Fluoborate
5,Bronze,N/A,Copper Fluoborate
6,Buna N (Nitrile),B - Good,Copper Fluoborate
7,Carbon graphite,N/A,Copper Fluoborate
8,Carbon Steel,N/A,Copper Fluoborate
9,Carpenter 20,D - Poor,Copper Fluoborate
10,Cast iron,D - Poor,Copper Fluoborate
11,Ceramic Al203,N/A,Copper Fluoborate
12,Ceramic magnet,N/A,Copper Fluoborate
13,ChemRaz (FFKM),A - Excellent,Copper Fluoborate
14,Copper,N/A,Copper Fluoborate
15,CPVC,A1 - Excellent,Copper Fluoborate
16,EPDM,N/A,Copper Fluoborate
17,Epoxy,A - Excellent,Copper Fluoborate
18,Fluorocarbon (FKM),A - Excellent,Copper Fluoborate
19,Hastelloy-C®,B - Good,Copper Fluoborate
20,Hypalon®,N/A,Copper Fluoborate
21,Hytrel®,N/A,Copper Fluoborate
22,Kalrez,N/A,Copper Fluoborate
23,Kel-F®,N/A,Copper Fluoborate
24,LDPE,N/A,Copper Fluoborate
25,Natural rubber,N/A,Copper Fluoborate
26,Neoprene,A - Excellent,Copper Fluoborate
27,NORYL®,N/A,Copper Fluoborate
28,Nylon,N/A,Copper Fluoborate
29,Polycarbonate,N/A,Copper Fluoborate
30,Polyetherether Ketone (PEEK),N/A,Copper Fluoborate
31,Polypropylene,N/A,Copper Fluoborate
32,Polyurethane,N/A,Copper Fluoborate
33,PPS (Ryton®),N/A,Copper Fluoborate
34,PTFE,N/A,Copper Fluoborate
35,PVC,A - Excellent,Copper Fluoborate
36,PVDF (Kynar®),N/A,Copper Fluoborate
37,Silicone,N/A,Copper Fluoborate
38,stainless steel - 304,D - Poor,Copper Fluoborate
39,stainless steel - 316,D - Poor,Copper Fluoborate
40,Titanium,N/A,Copper Fluoborate
41,Tygon®,A - Excellent,Copper Fluoborate
42,Viton®,A - Excellent,Copper Fluoborate
