,material,compatibility,chemical
0,,,Copper Nitrate
1,ABS plastic,N/A,Copper Nitrate
2,Acetal (Delrin®),A - Excellent,Copper Nitrate
3,Aluminum,D - Poor,Copper Nitrate
4,Brass,D - Poor,Copper Nitrate
5,Bronze,D - Poor,Copper Nitrate
6,Buna N (Nitrile),A - Excellent,Copper Nitrate
7,Carbon graphite,A - Excellent,Copper Nitrate
8,Carbon Steel,D - Poor,Copper Nitrate
9,Carpenter 20,A - Excellent,Copper Nitrate
10,Cast iron,D - Poor,Copper Nitrate
11,Ceramic Al203,A - Excellent,Copper Nitrate
12,Ceramic magnet,A - Excellent,Copper Nitrate
13,ChemRaz (FFKM),A - Excellent,Copper Nitrate
14,Copper,D - Poor,Copper Nitrate
15,CPVC,A - Excellent,Copper Nitrate
16,EPDM,N/A,Copper Nitrate
17,Epoxy,A1 - Excellent,Copper Nitrate
18,Fluorocarbon (FKM),A - Excellent,Copper Nitrate
19,Hastelloy-C®,B2 - Good,Copper Nitrate
20,Hypalon®,N/A,Copper Nitrate
21,Hytrel®,N/A,Copper Nitrate
22,Kalrez,A - Excellent,Copper Nitrate
23,Kel-F®,A - Excellent,Copper Nitrate
24,LDPE,B2 - Good,Copper Nitrate
25,Natural rubber,C - Fair,Copper Nitrate
26,Neoprene,A - Excellent,Copper Nitrate
27,NORYL®,A1 - Excellent,Copper Nitrate
28,Nylon,D - Poor,Copper Nitrate
29,Polycarbonate,D - Poor,Copper Nitrate
30,Polyetherether Ketone (PEEK),A - Excellent,Copper Nitrate
31,Polypropylene,A - Excellent,Copper Nitrate
32,Polyurethane,B - Good,Copper Nitrate
33,PPS (Ryton®),A - Excellent,Copper Nitrate
34,PTFE,A - Excellent,Copper Nitrate
35,PVC,A2 - Excellent,Copper Nitrate
36,PVDF (Kynar®),A - Excellent,Copper Nitrate
37,Silicone,N/A,Copper Nitrate
38,stainless steel - 304,A - Excellent,Copper Nitrate
39,stainless steel - 316,A2 - Excellent,Copper Nitrate
40,Titanium,B - Good,Copper Nitrate
41,Tygon®,B - Good,Copper Nitrate
42,Viton®,A - Excellent,Copper Nitrate
