,material,compatibility,chemical
0,,,Cream
1,ABS plastic,N/A,Cream
2,Acetal (Delrin®),A - Excellent,Cream
3,Aluminum,A - Excellent,Cream
4,Brass,N/A,Cream
5,Bronze,A - Excellent,Cream
6,Buna N (Nitrile),A - Excellent,Cream
7,Carbon graphite,N/A,Cream
8,Carbon Steel,N/A,Cream
9,Carpenter 20,D - Poor,Cream
10,Cast iron,D - Poor,Cream
11,Ceramic Al203,N/A,Cream
12,Ceramic magnet,N/A,Cream
13,ChemRaz (FFKM),N/A,Cream
14,Copper,N/A,Cream
15,CPVC,A - Excellent,Cream
16,EPDM,N/A,Cream
17,Epoxy,A - Excellent,Cream
18,Fluorocarbon (FKM),N/A,Cream
19,Hastelloy-C®,N/A,Cream
20,Hypalon®,N/A,Cream
21,Hytrel®,N/A,Cream
22,Kalrez,N/A,Cream
23,Kel-F®,N/A,Cream
24,LDPE,N/A,Cream
25,Natural rubber,N/A,Cream
26,Neoprene,D - Poor,Cream
27,NORYL®,A - Excellent,Cream
28,Nylon,A - Excellent,Cream
29,Polycarbonate,N/A,Cream
30,Polyetherether Ketone (PEEK),N/A,Cream
31,Polypropylene,A - Excellent,Cream
32,Polyurethane,N/A,Cream
33,PPS (Ryton®),N/A,Cream
34,PTFE,A - Excellent,Cream
35,PVC,N/A,Cream
36,PVDF (Kynar®),N/A,Cream
37,Silicone,N/A,Cream
38,stainless steel - 304,A - Excellent,Cream
39,stainless steel - 316,A - Excellent,Cream
40,Titanium,N/A,Cream
41,Tygon®,N/A,Cream
42,Viton®,A - Excellent,Cream
