,material,compatibility,chemical
0,,,Cupric Acid
1,ABS plastic,N/A,Cupric Acid
2,Acetal (Delrin®),N/A,Cupric Acid
3,Aluminum,D - Poor,Cupric Acid
4,Brass,N/A,Cupric Acid
5,Bronze,N/A,Cupric Acid
6,Buna N (Nitrile),B2 - Good,Cupric Acid
7,Carbon graphite,A2 - Excellent,Cupric Acid
8,Carbon Steel,N/A,Cupric Acid
9,Carpenter 20,N/A,Cupric Acid
10,Cast iron,N/A,Cupric Acid
11,Ceramic Al203,N/A,Cupric Acid
12,Ceramic magnet,N/A,Cupric Acid
13,ChemRaz (FFKM),N/A,Cupric Acid
14,Copper,N/A,Cupric Acid
15,CPVC,N/A,Cupric Acid
16,EPDM,A2 - Excellent,Cupric Acid
17,Epoxy,A2 - Excellent,Cupric Acid
18,Fluorocarbon (FKM),N/A,Cupric Acid
19,Hastelloy-C®,A1 - Excellent,Cupric Acid
20,Hypalon®,N/A,Cupric Acid
21,Hytrel®,N/A,Cupric Acid
22,Kalrez,N/A,Cupric Acid
23,Kel-F®,A2 - Excellent,Cupric Acid
24,LDPE,B1 - Good,Cupric Acid
25,Natural rubber,B2 - Good,Cupric Acid
26,Neoprene,A2 - Excellent,Cupric Acid
27,NORYL®,A2 - Excellent,Cupric Acid
28,Nylon,D - Poor,Cupric Acid
29,Polycarbonate,A1 - Excellent,Cupric Acid
30,Polyetherether Ketone (PEEK),N/A,Cupric Acid
31,Polypropylene,A2 - Excellent,Cupric Acid
32,Polyurethane,N/A,Cupric Acid
33,PPS (Ryton®),A - Excellent,Cupric Acid
34,PTFE,A - Excellent,Cupric Acid
35,PVC,A2 - Excellent,Cupric Acid
36,PVDF (Kynar®),N/A,Cupric Acid
37,Silicone,A1 - Excellent,Cupric Acid
38,stainless steel - 304,D - Poor,Cupric Acid
39,stainless steel - 316,B2 - Good,Cupric Acid
40,Titanium,A2 - Excellent,Cupric Acid
41,Tygon®,A2 - Excellent,Cupric Acid
42,Viton®,A2 - Excellent,Cupric Acid
