,material,compatibility,chemical
0,,,Cyanic Acid
1,ABS plastic,N/A,Cyanic Acid
2,Acetal (Delrin®),D - Poor,Cyanic Acid
3,Aluminum,N/A,Cyanic Acid
4,Brass,N/A,Cyanic Acid
5,Bronze,N/A,Cyanic Acid
6,Buna N (Nitrile),C - Fair,Cyanic Acid
7,Carbon graphite,A - Excellent,Cyanic Acid
8,Carbon Steel,N/A,Cyanic Acid
9,Carpenter 20,D - Poor,Cyanic Acid
10,Cast iron,D - Poor,Cyanic Acid
11,Ceramic Al203,N/A,Cyanic Acid
12,Ceramic magnet,N/A,Cyanic Acid
13,ChemRaz (FFKM),N/A,Cyanic Acid
14,Copper,N/A,Cyanic Acid
15,CPVC,N/A,Cyanic Acid
16,EPDM,N/A,Cyanic Acid
17,Epoxy,A1 - Excellent,Cyanic Acid
18,Fluorocarbon (FKM),D - Poor,Cyanic Acid
19,Hastelloy-C®,N/A,Cyanic Acid
20,Hypalon®,N/A,Cyanic Acid
21,Hytrel®,N/A,Cyanic Acid
22,Kalrez,N/A,Cyanic Acid
23,Kel-F®,N/A,Cyanic Acid
24,LDPE,N/A,Cyanic Acid
25,Natural rubber,N/A,Cyanic Acid
26,Neoprene,C - Fair,Cyanic Acid
27,NORYL®,N/A,Cyanic Acid
28,Nylon,N/A,Cyanic Acid
29,Polycarbonate,N/A,Cyanic Acid
30,Polyetherether Ketone (PEEK),N/A,Cyanic Acid
31,Polypropylene,N/A,Cyanic Acid
32,Polyurethane,D - Poor,Cyanic Acid
33,PPS (Ryton®),N/A,Cyanic Acid
34,PTFE,A - Excellent,Cyanic Acid
35,PVC,N/A,Cyanic Acid
36,PVDF (Kynar®),N/A,Cyanic Acid
37,Silicone,A1 - Excellent,Cyanic Acid
38,stainless steel - 304,A - Excellent,Cyanic Acid
39,stainless steel - 316,A - Excellent,Cyanic Acid
40,Titanium,N/A,Cyanic Acid
41,Tygon®,N/A,Cyanic Acid
42,Viton®,A - Excellent,Cyanic Acid
