,material,compatibility,chemical
0,,,Cyclohexane
1,ABS plastic,N/A,Cyclohexane
2,Acetal (Delrin®),A1 - Excellent,Cyclohexane
3,Aluminum,A - Excellent,Cyclohexane
4,Brass,A - Excellent,Cyclohexane
5,Bronze,B - Good,Cyclohexane
6,Buna N (Nitrile),B - Good,Cyclohexane
7,Carbon graphite,A - Excellent,Cyclohexane
8,Carbon Steel,A - Excellent,Cyclohexane
9,Carpenter 20,A2 - Excellent,Cyclohexane
10,Cast iron,B - Good,Cyclohexane
11,Ceramic Al203,N/A,Cyclohexane
12,Ceramic magnet,A - Excellent,Cyclohexane
13,ChemRaz (FFKM),A - Excellent,Cyclohexane
14,Copper,B - Good,Cyclohexane
15,CPVC,D - Poor,Cyclohexane
16,EPDM,D - Poor,Cyclohexane
17,Epoxy,A2 - Excellent,Cyclohexane
18,Fluorocarbon (FKM),A - Excellent,Cyclohexane
19,Hastelloy-C®,B - Good,Cyclohexane
20,Hypalon®,D - Poor,Cyclohexane
21,Hytrel®,A1 - Excellent,Cyclohexane
22,Kalrez,A - Excellent,Cyclohexane
23,Kel-F®,A - Excellent,Cyclohexane
24,LDPE,B1 - Good,Cyclohexane
25,Natural rubber,D - Poor,Cyclohexane
26,Neoprene,D - Poor,Cyclohexane
27,NORYL®,D - Poor,Cyclohexane
28,Nylon,A - Excellent,Cyclohexane
29,Polycarbonate,B - Good,Cyclohexane
30,Polyetherether Ketone (PEEK),A - Excellent,Cyclohexane
31,Polypropylene,D - Poor,Cyclohexane
32,Polyurethane,B - Good,Cyclohexane
33,PPS (Ryton®),A - Excellent,Cyclohexane
34,PTFE,A - Excellent,Cyclohexane
35,PVC,D - Poor,Cyclohexane
36,PVDF (Kynar®),A - Excellent,Cyclohexane
37,Silicone,D - Poor,Cyclohexane
38,stainless steel - 304,A1 - Excellent,Cyclohexane
39,stainless steel - 316,A - Excellent,Cyclohexane
40,Titanium,A - Excellent,Cyclohexane
41,Tygon®,D - Poor,Cyclohexane
42,Viton®,A - Excellent,Cyclohexane
