,material,compatibility,chemical
0,,,Cyclohexanone
1,ABS plastic,D - Poor,Cyclohexanone
2,Acetal (Delrin®),A - Excellent,Cyclohexanone
3,Aluminum,A - Excellent,Cyclohexanone
4,Brass,N/A,Cyclohexanone
5,Bronze,B - Good,Cyclohexanone
6,Buna N (Nitrile),D - Poor,Cyclohexanone
7,Carbon graphite,A - Excellent,Cyclohexanone
8,Carbon Steel,A - Excellent,Cyclohexanone
9,Carpenter 20,N/A,Cyclohexanone
10,Cast iron,B - Good,Cyclohexanone
11,Ceramic Al203,A - Excellent,Cyclohexanone
12,Ceramic magnet,A - Excellent,Cyclohexanone
13,ChemRaz (FFKM),B - Good,Cyclohexanone
14,Copper,B - Good,Cyclohexanone
15,CPVC,D - Poor,Cyclohexanone
16,EPDM,B - Good,Cyclohexanone
17,Epoxy,C - Fair,Cyclohexanone
18,Fluorocarbon (FKM),D - Poor,Cyclohexanone
19,Hastelloy-C®,A1 - Excellent,Cyclohexanone
20,Hypalon®,N/A,Cyclohexanone
21,Hytrel®,N/A,Cyclohexanone
22,Kalrez,A - Excellent,Cyclohexanone
23,Kel-F®,A1 - Excellent,Cyclohexanone
24,LDPE,D - Poor,Cyclohexanone
25,Natural rubber,D - Poor,Cyclohexanone
26,Neoprene,D - Poor,Cyclohexanone
27,NORYL®,D - Poor,Cyclohexanone
28,Nylon,A - Excellent,Cyclohexanone
29,Polycarbonate,D - Poor,Cyclohexanone
30,Polyetherether Ketone (PEEK),A - Excellent,Cyclohexanone
31,Polypropylene,D - Poor,Cyclohexanone
32,Polyurethane,D - Poor,Cyclohexanone
33,PPS (Ryton®),A - Excellent,Cyclohexanone
34,PTFE,A - Excellent,Cyclohexanone
35,PVC,D - Poor,Cyclohexanone
36,PVDF (Kynar®),D - Poor,Cyclohexanone
37,Silicone,D - Poor,Cyclohexanone
38,stainless steel - 304,A1 - Excellent,Cyclohexanone
39,stainless steel - 316,A2 - Excellent,Cyclohexanone
40,Titanium,N/A,Cyclohexanone
41,Tygon®,D - Poor,Cyclohexanone
42,Viton®,D - Poor,Cyclohexanone
