,material,compatibility,chemical
0,,,Detergents
1,ABS plastic,B - Good,Detergents
2,Acetal (Delrin®),A1 - Excellent,Detergents
3,Aluminum,B - Good,Detergents
4,Brass,N/A,Detergents
5,Bronze,B - Good,Detergents
6,Buna N (Nitrile),A - Excellent,Detergents
7,Carbon graphite,A - Excellent,Detergents
8,Carbon Steel,A - Excellent,Detergents
9,Carpenter 20,A2 - Excellent,Detergents
10,Cast iron,N/A,Detergents
11,Ceramic Al203,A - Excellent,Detergents
12,Ceramic magnet,A - Excellent,Detergents
13,ChemRaz (FFKM),A - Excellent,Detergents
14,Copper,N/A,Detergents
15,CPVC,A - Excellent,Detergents
16,EPDM,A - Excellent,Detergents
17,Epoxy,A1 - Excellent,Detergents
18,Fluorocarbon (FKM),A - Excellent,Detergents
19,Hastelloy-C®,B - Good,Detergents
20,Hypalon®,B - Good,Detergents
21,Hytrel®,N/A,Detergents
22,Kalrez,A - Excellent,Detergents
23,Kel-F®,A - Excellent,Detergents
24,LDPE,D - Poor,Detergents
25,Natural rubber,B - Good,Detergents
26,Neoprene,B - Good,Detergents
27,NORYL®,A1 - Excellent,Detergents
28,Nylon,A1 - Excellent,Detergents
29,Polycarbonate,A1 - Excellent,Detergents
30,Polyetherether Ketone (PEEK),A - Excellent,Detergents
31,Polypropylene,A - Excellent,Detergents
32,Polyurethane,B - Good,Detergents
33,PPS (Ryton®),A - Excellent,Detergents
34,PTFE,A - Excellent,Detergents
35,PVC,A - Excellent,Detergents
36,PVDF (Kynar®),A - Excellent,Detergents
37,Silicone,A - Excellent,Detergents
38,stainless steel - 304,A1 - Excellent,Detergents
39,stainless steel - 316,A1 - Excellent,Detergents
40,Titanium,A2 - Excellent,Detergents
41,Tygon®,A - Excellent,Detergents
42,Viton®,A - Excellent,Detergents
