,material,compatibility,chemical
0,,,Diacetone Alcohol
1,ABS plastic,N/A,Diacetone Alcohol
2,Acetal (Delrin®),N/A,Diacetone Alcohol
3,Aluminum,A1 - Excellent,Diacetone Alcohol
4,Brass,A1 - Excellent,Diacetone Alcohol
5,Bronze,B - Good,Diacetone Alcohol
6,Buna N (Nitrile),D - Poor,Diacetone Alcohol
7,Carbon graphite,A - Excellent,Diacetone Alcohol
8,Carbon Steel,A - Excellent,Diacetone Alcohol
9,Carpenter 20,N/A,Diacetone Alcohol
10,Cast iron,N/A,Diacetone Alcohol
11,Ceramic Al203,N/A,Diacetone Alcohol
12,Ceramic magnet,N/A,Diacetone Alcohol
13,ChemRaz (FFKM),A - Excellent,Diacetone Alcohol
14,Copper,A - Excellent,Diacetone Alcohol
15,CPVC,D - Poor,Diacetone Alcohol
16,EPDM,A - Excellent,Diacetone Alcohol
17,Epoxy,A - Excellent,Diacetone Alcohol
18,Fluorocarbon (FKM),D - Poor,Diacetone Alcohol
19,Hastelloy-C®,N/A,Diacetone Alcohol
20,Hypalon®,A - Excellent,Diacetone Alcohol
21,Hytrel®,N/A,Diacetone Alcohol
22,Kalrez,A - Excellent,Diacetone Alcohol
23,Kel-F®,B1 - Good,Diacetone Alcohol
24,LDPE,A - Excellent,Diacetone Alcohol
25,Natural rubber,N/A,Diacetone Alcohol
26,Neoprene,D - Poor,Diacetone Alcohol
27,NORYL®,N/A,Diacetone Alcohol
28,Nylon,A1 - Excellent,Diacetone Alcohol
29,Polycarbonate,D - Poor,Diacetone Alcohol
30,Polyetherether Ketone (PEEK),N/A,Diacetone Alcohol
31,Polypropylene,A1 - Excellent,Diacetone Alcohol
32,Polyurethane,D - Poor,Diacetone Alcohol
33,PPS (Ryton®),N/A,Diacetone Alcohol
34,PTFE,A - Excellent,Diacetone Alcohol
35,PVC,D - Poor,Diacetone Alcohol
36,PVDF (Kynar®),D - Poor,Diacetone Alcohol
37,Silicone,D - Poor,Diacetone Alcohol
38,stainless steel - 304,B1 - Good,Diacetone Alcohol
39,stainless steel - 316,B - Good,Diacetone Alcohol
40,Titanium,N/A,Diacetone Alcohol
41,Tygon®,N/A,Diacetone Alcohol
42,Viton®,D - Poor,Diacetone Alcohol
