,material,compatibility,chemical
0,,,Diesel Fuel
1,ABS plastic,N/A,Diesel Fuel
2,Acetal (Delrin®),A - Excellent,Diesel Fuel
3,Aluminum,A1 - Excellent,Diesel Fuel
4,Brass,A1 - Excellent,Diesel Fuel
5,Bronze,A - Excellent,Diesel Fuel
6,Buna N (Nitrile),A - Excellent,Diesel Fuel
7,Carbon graphite,A - Excellent,Diesel Fuel
8,Carbon Steel,A - Excellent,Diesel Fuel
9,Carpenter 20,A - Excellent,Diesel Fuel
10,Cast iron,A - Excellent,Diesel Fuel
11,Ceramic Al203,N/A,Diesel Fuel
12,Ceramic magnet,N/A,Diesel Fuel
13,ChemRaz (FFKM),A - Excellent,Diesel Fuel
14,Copper,A - Excellent,Diesel Fuel
15,CPVC,A1 - Excellent,Diesel Fuel
16,EPDM,D - Poor,Diesel Fuel
17,Epoxy,A - Excellent,Diesel Fuel
18,Fluorocarbon (FKM),A - Excellent,Diesel Fuel
19,Hastelloy-C®,B - Good,Diesel Fuel
20,Hypalon®,B - Good,Diesel Fuel
21,Hytrel®,N/A,Diesel Fuel
22,Kalrez,A - Excellent,Diesel Fuel
23,Kel-F®,A1 - Excellent,Diesel Fuel
24,LDPE,C1 - Fair,Diesel Fuel
25,Natural rubber,D - Poor,Diesel Fuel
26,Neoprene,B - Good,Diesel Fuel
27,NORYL®,D - Poor,Diesel Fuel
28,Nylon,A - Excellent,Diesel Fuel
29,Polycarbonate,A2 - Excellent,Diesel Fuel
30,Polyetherether Ketone (PEEK),A - Excellent,Diesel Fuel
31,Polypropylene,A1 - Excellent,Diesel Fuel
32,Polyurethane,C - Fair,Diesel Fuel
33,PPS (Ryton®),A - Excellent,Diesel Fuel
34,PTFE,A - Excellent,Diesel Fuel
35,PVC,A1 - Excellent,Diesel Fuel
36,PVDF (Kynar®),A - Excellent,Diesel Fuel
37,Silicone,D - Poor,Diesel Fuel
38,stainless steel - 304,A1 - Excellent,Diesel Fuel
39,stainless steel - 316,A1 - Excellent,Diesel Fuel
40,Titanium,B - Good,Diesel Fuel
41,Tygon®,N/A,Diesel Fuel
42,Viton®,A - Excellent,Diesel Fuel
