,material,compatibility,chemical
0,,,Diethyl Ether
1,ABS plastic,D - Poor,Diethyl Ether
2,Acetal (Delrin®),N/A,Diethyl Ether
3,Aluminum,B - Good,Diethyl Ether
4,Brass,B1 - Good,Diethyl Ether
5,Bronze,A1 - Excellent,Diethyl Ether
6,Buna N (Nitrile),D - Poor,Diethyl Ether
7,Carbon graphite,A2 - Excellent,Diethyl Ether
8,Carbon Steel,B - Good,Diethyl Ether
9,Carpenter 20,N/A,Diethyl Ether
10,Cast iron,N/A,Diethyl Ether
11,Ceramic Al203,N/A,Diethyl Ether
12,Ceramic magnet,N/A,Diethyl Ether
13,ChemRaz (FFKM),A - Excellent,Diethyl Ether
14,Copper,A - Excellent,Diethyl Ether
15,CPVC,D - Poor,Diethyl Ether
16,EPDM,D - Poor,Diethyl Ether
17,Epoxy,D - Poor,Diethyl Ether
18,Fluorocarbon (FKM),D - Poor,Diethyl Ether
19,Hastelloy-C®,B1 - Good,Diethyl Ether
20,Hypalon®,D - Poor,Diethyl Ether
21,Hytrel®,C - Fair,Diethyl Ether
22,Kalrez,A - Excellent,Diethyl Ether
23,Kel-F®,C - Fair,Diethyl Ether
24,LDPE,N/A,Diethyl Ether
25,Natural rubber,D - Poor,Diethyl Ether
26,Neoprene,D - Poor,Diethyl Ether
27,NORYL®,N/A,Diethyl Ether
28,Nylon,A1 - Excellent,Diethyl Ether
29,Polycarbonate,D - Poor,Diethyl Ether
30,Polyetherether Ketone (PEEK),A - Excellent,Diethyl Ether
31,Polypropylene,A1 - Excellent,Diethyl Ether
32,Polyurethane,A - Excellent,Diethyl Ether
33,PPS (Ryton®),A - Excellent,Diethyl Ether
34,PTFE,A - Excellent,Diethyl Ether
35,PVC,D - Poor,Diethyl Ether
36,PVDF (Kynar®),A1 - Excellent,Diethyl Ether
37,Silicone,D - Poor,Diethyl Ether
38,stainless steel - 304,B1 - Good,Diethyl Ether
39,stainless steel - 316,B2 - Good,Diethyl Ether
40,Titanium,A1 - Excellent,Diethyl Ether
41,Tygon®,N/A,Diethyl Ether
42,Viton®,D - Poor,Diethyl Ether
