,material,compatibility,chemical
0,,,Dimethyl Aniline
1,ABS plastic,D - Poor,Dimethyl Aniline
2,Acetal (Delrin®),D - Poor,Dimethyl Aniline
3,Aluminum,A2 - Excellent,Dimethyl Aniline
4,Brass,N/A,Dimethyl Aniline
5,Bronze,N/A,Dimethyl Aniline
6,Buna N (Nitrile),D - Poor,Dimethyl Aniline
7,Carbon graphite,A2 - Excellent,Dimethyl Aniline
8,Carbon Steel,N/A,Dimethyl Aniline
9,Carpenter 20,N/A,Dimethyl Aniline
10,Cast iron,N/A,Dimethyl Aniline
11,Ceramic Al203,N/A,Dimethyl Aniline
12,Ceramic magnet,N/A,Dimethyl Aniline
13,ChemRaz (FFKM),A - Excellent,Dimethyl Aniline
14,Copper,N/A,Dimethyl Aniline
15,CPVC,D - Poor,Dimethyl Aniline
16,EPDM,B2 - Good,Dimethyl Aniline
17,Epoxy,A1 - Excellent,Dimethyl Aniline
18,Fluorocarbon (FKM),D - Poor,Dimethyl Aniline
19,Hastelloy-C®,B2 - Good,Dimethyl Aniline
20,Hypalon®,N/A,Dimethyl Aniline
21,Hytrel®,N/A,Dimethyl Aniline
22,Kalrez,A - Excellent,Dimethyl Aniline
23,Kel-F®,A2 - Excellent,Dimethyl Aniline
24,LDPE,N/A,Dimethyl Aniline
25,Natural rubber,D - Poor,Dimethyl Aniline
26,Neoprene,D - Poor,Dimethyl Aniline
27,NORYL®,D - Poor,Dimethyl Aniline
28,Nylon,A - Excellent,Dimethyl Aniline
29,Polycarbonate,D - Poor,Dimethyl Aniline
30,Polyetherether Ketone (PEEK),N/A,Dimethyl Aniline
31,Polypropylene,D - Poor,Dimethyl Aniline
32,Polyurethane,D - Poor,Dimethyl Aniline
33,PPS (Ryton®),A - Excellent,Dimethyl Aniline
34,PTFE,A - Excellent,Dimethyl Aniline
35,PVC,D - Poor,Dimethyl Aniline
36,PVDF (Kynar®),A1 - Excellent,Dimethyl Aniline
37,Silicone,D - Poor,Dimethyl Aniline
38,stainless steel - 304,B2 - Good,Dimethyl Aniline
39,stainless steel - 316,B2 - Good,Dimethyl Aniline
40,Titanium,A2 - Excellent,Dimethyl Aniline
41,Tygon®,D - Poor,Dimethyl Aniline
42,Viton®,D - Poor,Dimethyl Aniline
