,material,compatibility,chemical
0,,,Dimethyl Formamide
1,ABS plastic,D - Poor,Dimethyl Formamide
2,Acetal (Delrin®),D - Poor,Dimethyl Formamide
3,Aluminum,A1 - Excellent,Dimethyl Formamide
4,Brass,N/A,Dimethyl Formamide
5,Bronze,N/A,Dimethyl Formamide
6,Buna N (Nitrile),D - Poor,Dimethyl Formamide
7,Carbon graphite,N/A,Dimethyl Formamide
8,Carbon Steel,D - Poor,Dimethyl Formamide
9,Carpenter 20,N/A,Dimethyl Formamide
10,Cast iron,N/A,Dimethyl Formamide
11,Ceramic Al203,N/A,Dimethyl Formamide
12,Ceramic magnet,N/A,Dimethyl Formamide
13,ChemRaz (FFKM),B - Good,Dimethyl Formamide
14,Copper,A - Excellent,Dimethyl Formamide
15,CPVC,D - Poor,Dimethyl Formamide
16,EPDM,B - Good,Dimethyl Formamide
17,Epoxy,D - Poor,Dimethyl Formamide
18,Fluorocarbon (FKM),D - Poor,Dimethyl Formamide
19,Hastelloy-C®,N/A,Dimethyl Formamide
20,Hypalon®,D - Poor,Dimethyl Formamide
21,Hytrel®,N/A,Dimethyl Formamide
22,Kalrez,A - Excellent,Dimethyl Formamide
23,Kel-F®,A - Excellent,Dimethyl Formamide
24,LDPE,A - Excellent,Dimethyl Formamide
25,Natural rubber,C - Fair,Dimethyl Formamide
26,Neoprene,D - Poor,Dimethyl Formamide
27,NORYL®,D - Poor,Dimethyl Formamide
28,Nylon,A - Excellent,Dimethyl Formamide
29,Polycarbonate,D - Poor,Dimethyl Formamide
30,Polyetherether Ketone (PEEK),A - Excellent,Dimethyl Formamide
31,Polypropylene,A - Excellent,Dimethyl Formamide
32,Polyurethane,D - Poor,Dimethyl Formamide
33,PPS (Ryton®),A - Excellent,Dimethyl Formamide
34,PTFE,A - Excellent,Dimethyl Formamide
35,PVC,D - Poor,Dimethyl Formamide
36,PVDF (Kynar®),D - Poor,Dimethyl Formamide
37,Silicone,C - Fair,Dimethyl Formamide
38,stainless steel - 304,A - Excellent,Dimethyl Formamide
39,stainless steel - 316,B - Good,Dimethyl Formamide
40,Titanium,N/A,Dimethyl Formamide
41,Tygon®,D - Poor,Dimethyl Formamide
42,Viton®,C - Fair,Dimethyl Formamide
